legacy case ID,legacy event type,legacy section,original semantic purpose,current canonical TaleSessionEvent type,current canonical event payload,current canonical Player surface,current SceneHost or presentation owner,canonical presentation scene,presentation required,acknowledgment policy,replay policy,canonical browser test,canonical service/unit test,compatibility disposition,final status,evidence commit,notes
P3-CASE-011,JOURNAL_ANNOTATION_ADDED,journal,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-012,PLAYER_LOG_ENTRY_ADDED,journal,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-013,FINALE_TEASED,journal,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-014,FINALE_REQUIREMENT_UPDATED,journal,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-015,CAMPAIGN_PAUSED,journal,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-016,CAMPAIGN_RESUMED,journal,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-017,STATE_REVERTED,journal,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,canonical Chronicle journal
P3-CASE-018,CHAPTER_RELEASED,chart,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-019,CHAPTER_SOLVED,chart,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-020,ARTIFACT_AWARDED,chart,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-021,ARTIFACT_SILHOUETTE_REVEALED,chart,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-022,ARTIFACT_CONNECTED,chart,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-023,MAP_LOCATION_REVEALED,chart,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-024,MAP_ROUTE_REVEALED,chart,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-025,SIDE_QUEST_DISCOVERED,chart,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-026,SIDE_QUEST_UPDATED,chart,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-027,SIDE_QUEST_COMPLETED,chart,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-028,JOURNAL_ANNOTATION_ADDED,chart,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-029,PLAYER_LOG_ENTRY_ADDED,chart,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-030,FINALE_TEASED,chart,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-031,FINALE_REQUIREMENT_UPDATED,chart,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-032,CAMPAIGN_PAUSED,chart,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-033,CAMPAIGN_RESUMED,chart,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-034,STATE_REVERTED,chart,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-035,CHAPTER_RELEASED,treasures,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-036,CHAPTER_SOLVED,treasures,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-037,ARTIFACT_AWARDED,treasures,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-038,ARTIFACT_SILHOUETTE_REVEALED,treasures,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-039,ARTIFACT_CONNECTED,treasures,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-040,MAP_LOCATION_REVEALED,treasures,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-041,MAP_ROUTE_REVEALED,treasures,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-042,SIDE_QUEST_DISCOVERED,treasures,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-043,SIDE_QUEST_UPDATED,treasures,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-044,SIDE_QUEST_COMPLETED,treasures,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-045,JOURNAL_ANNOTATION_ADDED,treasures,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-046,PLAYER_LOG_ENTRY_ADDED,treasures,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-047,FINALE_TEASED,treasures,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-048,FINALE_REQUIREMENT_UPDATED,treasures,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-049,CAMPAIGN_PAUSED,treasures,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-050,CAMPAIGN_RESUMED,treasures,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-051,STATE_REVERTED,treasures,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-052,CHAPTER_RELEASED,quests,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-053,CHAPTER_SOLVED,quests,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-054,ARTIFACT_AWARDED,quests,artifact awarded behavior,artifactGranted,asset identity; inventory projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-055,ARTIFACT_SILHOUETTE_REVEALED,quests,artifact silhouette revealed behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-056,ARTIFACT_CONNECTED,quests,artifact connected behavior,hintReleased,artifact projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group C: artifact and collection progression,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-057,MAP_LOCATION_REVEALED,quests,map location revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-058,MAP_ROUTE_REVEALED,quests,map route revealed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group D: map and route progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-059,SIDE_QUEST_DISCOVERED,quests,side quest discovered behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-060,SIDE_QUEST_UPDATED,quests,side quest updated behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-061,SIDE_QUEST_COMPLETED,quests,side quest completed behavior,hintReleased,journal projection refresh,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group E: objective and quest progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-062,JOURNAL_ANNOTATION_ADDED,quests,journal annotation added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-063,PLAYER_LOG_ENTRY_ADDED,quests,player log entry added behavior,hintReleased,readable journal projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group B: hints and readable information,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-064,FINALE_TEASED,quests,finale teased behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-065,FINALE_REQUIREMENT_UPDATED,quests,finale requirement updated behavior,hintReleased,finale readable projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group F: finale progression,src/chronicle/progression.test.ts,consolidated-into-canonical-surface,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-066,CAMPAIGN_PAUSED,quests,campaign paused behavior,sessionPaused,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-067,CAMPAIGN_RESUMED,quests,campaign resumed behavior,sessionResumed,reason; current block,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-068,STATE_REVERTED,quests,state reverted behavior,captainRollback,from block; target block; reason,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group G: session control,src/chronicle/progression.test.ts,state-only-canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-069,CHAPTER_RELEASED,log,chapter released behavior,blockEntered,block enter; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
P3-CASE-070,CHAPTER_SOLVED,log,chapter solved behavior,blockCompleted,block completion; snapshot projection,canonical Chronicle journal,ChronicleJournalSession,journal readable state,no,not-required for state-only canonical event,refreshes state without business mutation,canonical Group A: chapter and block progression,src/chronicle/progression.test.ts,canonical-equivalent,governed,dfbea823a80b9a139ddceaa1820cb15ec2c9bf23,retired section consolidated into canonical Chronicle journal
