"routeId","pathPattern","parameterNames","sourceRoute","sourceComponent","sourceQueryOrService","sourceControl","accessibleLabel","authorization","publicOrPrivate","desktop","mobile","emptyBehavior","invalidIdBehavior","directEntryBehavior","stableParent","returnFallback","fixtureAlias","browserEvidence","status"
"route-page-community-voyage-logs-slug","/community/voyage-logs/[slug]","slug","/community/voyage-logs","src/components/community/CommunityCardGrid.tsx","src/community/voyage-log-public.ts","Voyage Log card title","Open public Voyage Log","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-voyage-logs","/community/voyage-logs","homeport-public-voyage-log","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-community-voyage-logs-owner-id","/community/voyage-logs/owner/[id]","id","/community/voyage-logs/owner","src/components/community/VoyageLogOwnerList.tsx","/api/community/voyage-logs/owner","Open editor","Open your Voyage Log editor","PLAYER","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-community-voyage-logs-owner","/community/voyage-logs/owner","synthetic-owner-voyage-log","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-passport-artifacts-artifactId","/passport/artifacts/[artifactId]","artifactId","/passport/artifacts","src/components/homeport/PassportSurfaces.tsx","/api/passport/artifacts","View Artifact","Open Artifact detail","AUTHENTICATED","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-passport-artifacts","/passport/artifacts","synthetic-passport-artifact","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-passport-history-recordId","/passport/history/[recordId]","recordId","/passport/history","src/components/homeport/PassportSurfaces.tsx","/api/passport/history","View Voyage Record","Open Voyage Record","AUTHENTICATED","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-passport-history","/passport/history","synthetic-voyage-record","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-passport-history-recordid-compare","/passport/history/[recordId]/compare","recordId","/passport/history/[recordId]","src/components/homeport/PassportSurfaces.tsx","/passport/history/${encodeURIComponent(recordId)}/compare","See what changed","Compare the exact edition recorded for this Voyage","AUTHENTICATED","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-passport-history-recordId","/passport/history/[recordId]","synthetic-passport-history-comparison","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-play-taleslug","/play/[taleSlug]","taleSlug","/tales","src/components/tales/TaleCatalog.tsx","/api/tales","Chronicle card action","Preview Chronicle","ALL","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-tales","/tales","development-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-play-taleslug-history","/play/[taleSlug]/history","taleSlug","/play/[taleSlug]","src/components/tales/TaleStart.tsx","readTaleSessionCookie","View this browser's Voyage History","Open browser Voyage History","ALL","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-play-taleslug","/play/[taleSlug]","development-browser-history","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-play-taleslug-session-sessionid","/play/[taleSlug]/session/[sessionId]","taleSlug;sessionId","/play/[taleSlug]","src/components/tales/TaleStart.tsx","/api/tales/[taleSlug]/start","Begin Voyage","Continue to prepared Voyage","ALL","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-play-taleslug","/play/[taleSlug]","development-voyage-session","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-player-playthroughs-playthroughid","/player/playthroughs/[playthroughId]","playthroughId","/player/library","src/components/platform/PlayerLibrary.tsx","/api/player/library","Voyage card action","Open Voyage","PLAYER","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-player-library","/player/library","synthetic-player-voyage","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-player-playthroughs-playthroughid-journal","/player/playthroughs/[playthroughId]/journal","playthroughId","/player/library","src/components/platform/PlayerLibrary.tsx","/api/player/library","Open Completed Journal","Open Chronicle Journal","PLAYER","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-player-library","/player/library","synthetic-player-journal","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-profile-handle","/profile/[handle]","handle","/account/profile","src/components/homeport/AccountSurfaces.tsx","/api/account/profile","View public Profile","Open public Profile","AUTHENTICATED","PUBLIC","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-tales","/tales","homeport-public-profile","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid","/studio/tales/[taleId]","taleId","/studio/library","src/components/studio/StudioHome.tsx","/api/studio/tales","Edit Chronicle","Open Chronicle editor","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-artifacts","/studio/tales/[taleId]/artifacts","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Artifacts","Open Chronicle Artifacts","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-assets","/studio/tales/[taleId]/assets","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Assets","Open Chronicle Assets","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-locations","/studio/tales/[taleId]/locations","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Locations","Open Chronicle Locations","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-settings","/studio/tales/[taleId]/settings","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Settings","Open Chronicle Settings","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-trials","/studio/tales/[taleId]/trials","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Sea Trials","Open Chronicle Sea Trials","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-tales-taleid","/studio/tales/[taleId]","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
"route-page-studio-tales-taleid-versions","/studio/tales/[taleId]/versions","taleId","/studio/tales/[taleId]","src/components/studio/TaleEditor.tsx","/api/studio/tales/[taleId]","Versions","Open Chronicle Versions","CREATOR","PRIVATE","VISIBLE","VISIBLE","SOURCE_EMPTY_STATE_WITH_STABLE_ONWARD_ACTION","SAFE_NOT_FOUND_OR_EXPLICIT_UNAVAILABLE_WITH_PARENT","VALIDATED_ONLY_AFTER_NATURAL_PATH","route-page-studio-library","/studio/library","synthetic-studio-chronicle","PENDING_EXACT_SOURCE_BROWSER","IMPLEMENTED_PENDING_BROWSER_VALIDATION"
