"mutation_id","screen","control","server_authority","validation","dirty_state","confirmation","pending","disabled_duplicate_behavior","optimistic_behavior","authoritative_result","success","failure","conflict","retry","context_refresh","focus","live_announcement","mobile_behavior","evidence","status"
"session-revoke","screen-page-account-sessions","session revoke","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","ACCESSIBLE_ACTION_DIALOG","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"sign-out-everywhere","screen-page-account-sessions","sign out everywhere","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","ACCESSIBLE_ACTION_DIALOG","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"community-save","screen-page-community","community save","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"community-follow","screen-page-community-creators-handle","community follow","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"invitation-accept-decline","screen-page-player-invitation","invitation accept decline","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","ACCESSIBLE_ACTION_DIALOG","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"player-library-preference","screen-page-player-library","player library preference","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"captain-invitation-control","screen-page-captain-library","captain invitation control","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"captain-voyage-control","screen-page-captain-sessions-sessionid","captain voyage control","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","DIRECT_INTENT","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"studio-save-publish","screen-page-studio-tales-taleid","studio save publish","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","EXPLICIT","ACCESSIBLE_ACTION_DIALOG","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
"archive-favorite","screen-page-passport-artifacts","archive favorite","APPLICATION_API_OR_SERVER_ACTION","CLIENT_GUIDANCE_AND_SERVER_AUTHORITY","NOT_APPLICABLE","ACCESSIBLE_ACTION_DIALOG","VISIBLE_AND_DUPLICATE_GUARDED","DISABLED_OR_SINGLE_IN_FLIGHT","ONLY_WHEN_REVERSIBLE_AND_RECONCILED","REQUIRED_BEFORE_SUCCESS","VISIBLE_STATE_AND_LIVE_STATUS","SAFE_ERROR_INPUT_OR_CONTEXT_PRESERVED","STALE_CONFLICT_EXPLICIT_WHERE_VERSIONED","AVAILABLE_WHERE_SAFE","AUTHORITATIVE_RESOURCE_OR_ACCOUNT_CONTEXT_REFRESH","PRESERVED_OR_RESTORED","POLITE_OR_ASSERTIVE_BY_SEVERITY","CONTROL_AND_RESULT_REMAIN_VISIBLE","HP-P6-EV-119-captain-library-dialog","COMPLETE"
