"control_id","label","screen","route","role_or_capability","visibility_condition","enabled_condition","action_type","authoritative_endpoint_or_server_action","pending_feedback","success_feedback","failure_feedback","navigation_result","focus_result","keyboard_operation","mobile_operation","current_status","reproduction_steps","evidence_id","target_phase","phase6_status","phase7_correction_round1_status","phase7_correction_round1_evidence","phase7_owner_correction_round2_status","phase7_owner_correction_round2_evidence"
"HP-CTL-011","View My Profile","screen-page-player-library","/player/library","AUTHENTICATED","never visible","not applicable","NAVIGATION","missing","none","none","none","none","none","none","none","UNREACHABLE","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-005","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-012","Security","screen-page-player-library","/player/library","AUTHENTICATED","account menu","enabled","NAVIGATION","Next Link /account/security","link focus","Security page","route error","/account/security","destination heading","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-025","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-013","Revoke","screen-page-account-security","/account/security","AUTHENTICATED","session row","enabled","MUTATION","/api/auth/sessions/:id/revoke","none","row removed","Unable to update sessions","same route","not explicitly managed","Enter","tap","WORKING_WITH_WEAK_FEEDBACK","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-025","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-014","Sign out","screen-page-player-library","/player/library","AUTHENTICATED","account menu","enabled","SERVER_ACTION","src/app/actions/sign-out.ts","navigation transition","protected route becomes denied","server action failure boundary","/player/sign-in?return=/player/library","sign-in form","Enter","tap","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-I-sign-out-complete","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-015","Captain workspace","screen-page-player-library","/player/library","CAPTAIN","account role projection","enabled","NAVIGATION","Next Link /captain/library","link focus","Captain library expected","Captain sign-in shown","/captain/sign-in","form focus","Enter","tap","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-F-workspace-continuity","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-016","Creator workspace","screen-page-captain-library","/captain/library","CREATOR","account role projection","enabled","NAVIGATION","Next Link /studio/library","link focus","Studio library","role sign-in if staff cookie absent","/studio/library","destination heading","Enter","tap","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-F-workspace-continuity","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-017","Community Harbor","screen-page-root","/","ANONYMOUS","never visible globally","not applicable","NAVIGATION","missing","none","none","none","none","none","none","none","UNREACHABLE","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-018","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AA-REDUCED-MOTION;HP-OWCR1-EV-T-ACCOUNT-MENU-MOTION;HP-OWCR1-EV-Y-HOME-FIRST-PAINT;HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-A-ROLE-CARDS-FIRST-PAINT;HP-OWCR2-EV-AB-REDUCED-MOTION;HP-OWCR2-EV-AE-FULL-ROUND2-REGRESSION;HP-OWCR2-EV-B-ROLE-CARDS-HOVER;HP-OWCR2-EV-C-ACCOUNT-MENU-OPENING;HP-OWCR2-EV-D-LANTERN-NEUTRAL;HP-OWCR2-EV-E-LANTERN-LEFT;HP-OWCR2-EV-F-LANTERN-RIGHT;HP-OWCR2-EV-G-STAR-TWINKLE;HP-OWCR2-EV-H-FOG-DRIFT;HP-OWCR2-EV-I-DARK-WHAT-IS-A-CHRONICLE;HP-OWCR2-EV-J-LIGHT-GATEWAY"
"HP-CTL-018","Featured","screen-page-community","/community","ANONYMOUS","Community direct URL","enabled","NAVIGATION","Next Link /community/featured","link focus","Featured district","route error","/community/featured","destination heading","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-018","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AC-MOBILE-HARBOR-SEARCH;HP-OWCR1-EV-Q-FAST-NO-LOADING-FLASH;HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH;HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-K-LIGHT-COMMUNITY;HP-OWCR2-EV-N-COMMUNITY-FAST-READY;HP-OWCR2-EV-S-SAVE-COUNT;HP-OWCR2-EV-Y-COMMUNITY-CONTRAST;HP-OWCR2-EV-Z-MOBILE-COMMUNITY"
"HP-CTL-019","Search","screen-page-community","/community","ANONYMOUS","Community root","query allowed","QUERY","/api/community/search","loading state","result count or no-results","error copy","same route","search control","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-024","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AC-MOBILE-HARBOR-SEARCH;HP-OWCR1-EV-Q-FAST-NO-LOADING-FLASH;HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH;HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-K-LIGHT-COMMUNITY;HP-OWCR2-EV-N-COMMUNITY-FAST-READY;HP-OWCR2-EV-S-SAVE-COUNT;HP-OWCR2-EV-Y-COMMUNITY-CONTRAST;HP-OWCR2-EV-Z-MOBILE-COMMUNITY"
"HP-CTL-020","Clear search and filters","screen-page-community","/community","ANONYMOUS","Community root","enabled","CLIENT_STATE","CommunityDiscoveryBrowser","immediate","default results restored","not applicable","same route","search context","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-018","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AC-MOBILE-HARBOR-SEARCH;HP-OWCR1-EV-Q-FAST-NO-LOADING-FLASH;HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH;HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-K-LIGHT-COMMUNITY;HP-OWCR2-EV-N-COMMUNITY-FAST-READY;HP-OWCR2-EV-S-SAVE-COUNT;HP-OWCR2-EV-Y-COMMUNITY-CONTRAST;HP-OWCR2-EV-Z-MOBILE-COMMUNITY"
"HP-CTL-021","The Homeport Practice Chronicle","screen-page-community","/community","ANONYMOUS","populated result","enabled","NAVIGATION","Next Link /community/:slug","link focus","detail page","not found","/community/homeport-synthetic-chronicle","detail heading","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-021","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-AC-MOBILE-HARBOR-SEARCH;HP-OWCR1-EV-Q-FAST-NO-LOADING-FLASH;HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH;HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-K-LIGHT-COMMUNITY;HP-OWCR2-EV-N-COMMUNITY-FAST-READY;HP-OWCR2-EV-S-SAVE-COUNT;HP-OWCR2-EV-Y-COMMUNITY-CONTRAST;HP-OWCR2-EV-Z-MOBILE-COMMUNITY"
"HP-CTL-022","Save","screen-page-community-slug","/community/[slug]","AUTHENTICATED","detail controls","enabled","MUTATION","/api/community/social/save","status region","Community Harbor updated and Unsave pressed","explicit alert","same route","button","Enter Space","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-021","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-W-COMMUNITY-REVIEW-COMPOSER;HP-OWCR1-EV-X-COMMUNITY-REVIEW-LIST","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-O-COMMUNITY-DELAYED-LOADING;HP-OWCR2-EV-P-COMMUNITY-REAL-ERROR;HP-OWCR2-EV-Q-PUBLIC-PROFILE-REVIEW;HP-OWCR2-EV-R-PUBLIC-PROFILE-SETUP;HP-OWCR2-EV-T-RATING-SUMMARY;HP-OWCR2-EV-U-COMPLETION-VERIFIED-REVIEW;HP-OWCR2-EV-V-CHRONICLE-PREVIEW-EXPANDED"
"HP-CTL-023","Follow Creator","screen-page-community-slug","/community/[slug]","AUTHENTICATED","detail controls","enabled","MUTATION","/api/community/social/follow","status region","state toggle","You cannot follow yourself","same route","button","Enter Space","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-021","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-W-COMMUNITY-REVIEW-COMPOSER;HP-OWCR1-EV-X-COMMUNITY-REVIEW-LIST","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-O-COMMUNITY-DELAYED-LOADING;HP-OWCR2-EV-P-COMMUNITY-REAL-ERROR;HP-OWCR2-EV-Q-PUBLIC-PROFILE-REVIEW;HP-OWCR2-EV-R-PUBLIC-PROFILE-SETUP;HP-OWCR2-EV-T-RATING-SUMMARY;HP-OWCR2-EV-U-COMPLETION-VERIFIED-REVIEW;HP-OWCR2-EV-V-CHRONICLE-PREVIEW-EXPANDED"
"HP-CTL-024","Back to Community Harbor","screen-page-community-slug","/community/[slug]","ANONYMOUS","district/detail pages","enabled","NAVIGATION","Next Link /community","link focus","Harbor root","route error","/community","destination heading","Enter","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-021","PHASE_4","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","REVALIDATED_BY_OWNER_CORRECTION_ROUND1","HP-OWCR1-EV-W-COMMUNITY-REVIEW-COMPOSER;HP-OWCR1-EV-X-COMMUNITY-REVIEW-LIST","REVALIDATED_BY_OWNER_CORRECTION_ROUND2","HP-OWCR2-EV-O-COMMUNITY-DELAYED-LOADING;HP-OWCR2-EV-P-COMMUNITY-REAL-ERROR;HP-OWCR2-EV-Q-PUBLIC-PROFILE-REVIEW;HP-OWCR2-EV-R-PUBLIC-PROFILE-SETUP;HP-OWCR2-EV-T-RATING-SUMMARY;HP-OWCR2-EV-U-COMPLETION-VERIFIED-REVIEW;HP-OWCR2-EV-V-CHRONICLE-PREVIEW-EXPANDED"
"HP-CTL-025","Open navigation menu","screen-page-player-library","/player/library","AUTHENTICATED","mobile","enabled","MENU","ProductShell","aria-expanded","menu visible","not applicable","none","first link focus","Enter Space Escape","tap","WORKING","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-006","PHASE_2","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-026","Player workspace navigation","screen-page-player-library","/player/library","PLAYER","mobile menu after Player sign-in","enabled","NAVIGATION_SET","navigation projection","menu state","only Explore Chronicles visible","not applicable","mixed","menu focus","keyboard","tap","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-C-passport-continuity","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-027","Save profile","screen-page-passport","/passport","AUTHENTICATED","Profile section","valid data","MUTATION","/api/passport/profile","not explicit","status message","inline error","same route","not proved","Enter","tap","WORKING_WITH_WEAK_FEEDBACK","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-013","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-028","Save preferences","screen-page-passport","/passport","AUTHENTICATED","Preferences section","valid data","MUTATION","/api/passport/preferences","not explicit","status message","inline error","same route","not proved","Enter","tap","WORKING_WITH_WEAK_FEEDBACK","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-013","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-029","Link Discord simulator","screen-page-passport","/passport","AUTHENTICATED","test-only validation section","enabled","MUTATION","provider simulation endpoint","not inspected","test-only link","provider error","same route","not proved","Enter","tap","NO_VISIBLE_FEEDBACK","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture.","HP-EV-013","PHASE_3","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-030","Permission recovery","screen-state-permission-restricted","/community/moderation","NON_MODERATOR","direct URL","not applicable","RECOVERY","missing deliberate denied state","none","none","generic sign-in redirect","/sign-in","generic form","not applicable","not applicable","VALIDATED","See the matching route and evidence record in Homeport_Journey_Audit.md; reproduce from the anonymous gateway unless the control requires an authenticated fixture. Phase 1 after-state: run the matching HP-P1 browser journey.","HP-P1-EV-G-permission-denied","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-031","Continue to account sign-in","screen-page-player-sign-in","/player/sign-in","ANONYMOUS","auth adapter visible","enabled","NAVIGATION","Next Link /sign-in with safe returnTo","link focus","canonical sign-in","route error","/sign-in","destination form","Enter","tap","VALIDATED","Run HP-P1-JRN-A from the gateway.","HP-P1-EV-A-sign-in-desktop","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-032","Forgot Password","screen-page-sign-in","/sign-in","ANONYMOUS","canonical sign-in visible","enabled","NAVIGATION","Next Link /forgot-password","link focus","recovery form","route error","/forgot-password","destination form","Enter","tap","VALIDATED","Run HP-P1-JRN-A and inspect lifecycle links.","HP-P1-EV-A-sign-in-desktop","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-033","Reauthenticate after expiry","screen-state-session-expired","/sign-in","EXPIRED_SESSION","expired reason present","enabled","AUTH_MUTATION","/api/auth/sign-in","Working announcement","safe return","associated error","/player/library","form remains operable","Enter","tap","VALIDATED","Run HP-P1-JRN-H.","HP-P1-EV-H-session-expired","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
"HP-CTL-034","Return to an available workspace","screen-state-permission-restricted","/community/moderation","AUTHENTICATED_WITHOUT_MODERATOR","permission state visible","enabled","NAVIGATION","AccessDecisionState safe action","link focus","available workspace","route error","/player/library","destination heading","Enter","tap","VALIDATED","Run HP-P1-JRN-G.","HP-P1-EV-G-permission-denied","PHASE_1","REVALIDATED_BY_COMPLETE_SURFACE_SYSTEM","NOT_APPLICABLE","","NOT_APPLICABLE",""
