finding_id,owner_order,owner_wording,product_area,severity,canonical_owner,parent_nonconformity,correction_nonconformity,architecture_contract,planned_test_contracts,planned_evidence_ids,current_status,limitation
"HP-OWCR1-014","14","One account should be able to use all three workspace families.","Workspace capabilities","CRITICAL","wayfarer","HP-NC-004","HP-NC-042","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","homeport.correction.workspaces.self-initialize","HP-OWCR1-EV-D-ALL-WORKSPACES","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-015","15","An account actively participating as a Player in a Chronicle must not casually switch into Creator or Captain context in a way that could spoil or corrupt that Chronicle.","Active Chronicle safety","CRITICAL","one-voyage","HP-NC-017","HP-NC-043","Project_Homeport_Workspace_Capability_and_Active_Chronicle_Policy.md","homeport.correction.workspaces.active-lock","HP-OWCR1-EV-E-ACTIVE-CHRONICLE-LOCK","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-016","16","Primary email is absent or unsupported.","Account identity","CRITICAL","wayfarer","HP-NC-003","HP-NC-044","Project_Homeport_Account_Identity_Email_and_Claiming_Architecture.md","homeport.correction.email.primary","HP-OWCR1-EV-H-VERIFIED-EMAIL","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-017","17","Email must become a secure part of account identity.","Account identity","CRITICAL","wayfarer","HP-NC-003","HP-NC-045","Project_Homeport_Account_Identity_Email_and_Claiming_Architecture.md","homeport.correction.email.identity","HP-OWCR1-EV-H-VERIFIED-EMAIL","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-018","18","Email must support sign-up, verification, change, sign-in, and password recovery.","Account identity","CRITICAL","wayfarer","HP-NC-003","HP-NC-046","Project_Homeport_Account_Identity_Email_and_Claiming_Architecture.md","homeport.correction.email.lifecycle","HP-OWCR1-EV-H-VERIFIED-EMAIL;HP-OWCR1-EV-I-EMAIL-CHANGE","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-019","19","The walkthrough account can sign in while its Account Record displays the raw state `GUEST_UNCLAIMED`.","Account claiming","CRITICAL","wayfarer","HP-NC-017","HP-NC-047","Project_Homeport_Account_Identity_Email_and_Claiming_Architecture.md","homeport.correction.claiming.human-state","HP-OWCR1-EV-G-ACCOUNT-CLAIMED","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-020","20","The account-claim lifecycle is unclear or contradictory.","Account claiming","CRITICAL","wayfarer","HP-NC-017","HP-NC-048","Project_Homeport_Account_Identity_Email_and_Claiming_Architecture.md","homeport.correction.claiming.lifecycle","HP-OWCR1-EV-G-ACCOUNT-CLAIMED","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-021","21","Personal Harbor needs a final faint-red Sign Out destination.","Personal Harbor navigation","HIGH","wayfarer","HP-NC-006","HP-NC-049","Project_Homeport_Personal_Harbor_Correction_Contract.md","homeport.correction.personal-harbor.sign-out","HP-OWCR1-EV-O-SIGN-OUT-ENTRY;HP-OWCR1-EV-AD-MOBILE-PERSONAL-HARBOR","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-022","22","Export account data must become a real working system.","Account data rights","CRITICAL","wayfarer","HP-NC-008","HP-NC-050","Project_Homeport_Account_Data_Export_Contract.md","homeport.correction.account.export","HP-OWCR1-EV-K-DATA-EXPORT","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-023","23","Account deactivation must become a real working system.","Account lifecycle","CRITICAL","wayfarer","HP-NC-008","HP-NC-051","Project_Homeport_Account_Deactivation_and_Deletion_Contract.md","homeport.correction.account.deactivation","HP-OWCR1-EV-L-DEACTIVATION-WARNING","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-024","24","Account deletion must become a real working system.","Account lifecycle","CRITICAL","wayfarer","HP-NC-008","HP-NC-052","Project_Homeport_Account_Deactivation_and_Deletion_Contract.md","homeport.correction.account.deletion","HP-OWCR1-EV-M-DELETION-DANGER","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-025","25","Each destructive/sensitive account operation needs complete warnings, confirmations, danger treatment, and reauthentication.","Sensitive actions","CRITICAL","wayfarer","HP-NC-008","HP-NC-053","Project_Homeport_Account_Deactivation_and_Deletion_Contract.md","homeport.correction.account.sensitive-actions","HP-OWCR1-EV-L-DEACTIVATION-WARNING;HP-OWCR1-EV-M-DELETION-DANGER","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-026","26","Linked identities should support real provider families such as Discord, Steam, and Microsoft/Xbox.","Linked identities","CRITICAL","wayfarer","HP-NC-028","HP-NC-054","Project_Homeport_Linked_Identity_Provider_Contract.md","homeport.correction.providers.adapters","HP-OWCR1-EV-J-LINKED-IDENTITIES","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-027","27","Personal Harbor section headings are too visually similar to page links.","Personal Harbor information architecture","HIGH","wayfarer","HP-NC-008","HP-NC-055","Project_Homeport_Personal_Harbor_Correction_Contract.md","homeport.correction.personal-harbor.hierarchy","HP-OWCR1-EV-N-PERSONAL-HARBOR-NAV","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-028","28","Display Name is editable in both Personal Information and Public Profile, creating contradictory ownership.","Profile identity","CRITICAL","wayfarer","HP-NC-008","HP-NC-056","Project_Homeport_Personal_Harbor_Correction_Contract.md","homeport.correction.display-name.single-authority","HP-OWCR1-EV-P-PUBLIC-PROFILE-EDITOR","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-029","29","Loading pages flash briefly during fast navigation.","Loading behavior","HIGH","lanternwake","HP-NC-018","HP-NC-057","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.loading.no-fast-flash","HP-OWCR1-EV-Q-FAST-NO-LOADING-FLASH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-030","30","A loading surface should become visible only after at least 500 milliseconds of unresolved loading.","Loading behavior","HIGH","lanternwake","HP-NC-018","HP-NC-058","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.loading.delay","HP-OWCR1-EV-R-DELAYED-LOADING","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-031","31","Page-to-page transitions should be smoother and governed consistently.","Route transitions","HIGH","lanternwake","HP-NC-018","HP-NC-059","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.route-transition.lifecycle","HP-OWCR1-EV-S-PAGE-TRANSITION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-032","32","Community review presentation and editing are visually messy.","Community reviews","HIGH","harborlight","HP-NC-011","HP-NC-060","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.reviews","HP-OWCR1-EV-W-COMMUNITY-REVIEW-COMPOSER;HP-OWCR1-EV-X-COMMUNITY-REVIEW-LIST","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-033","33","Community search is too far down the Harbor landing page.","Community search","HIGH","harborlight","HP-NC-013","HP-NC-061","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.search-placement","HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH;HP-OWCR1-EV-AC-MOBILE-HARBOR-SEARCH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-034","34","A compact search bar should sit beneath the Harbor title and introduction.","Community search","HIGH","harborlight","HP-NC-013","HP-NC-062","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.compact-search","HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-035","35","The compact search should include an Enter/Search icon.","Community search","MODERATE","harborlight","HP-NC-013","HP-NC-063","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.search-submit","HP-OWCR1-EV-U-COMMUNITY-COMPACT-SEARCH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-036","36","A Full Search control should expand the compact bar into the existing detailed search/filter card.","Community search","HIGH","harborlight","HP-NC-013","HP-NC-064","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.full-search","HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-037","37","The search expansion should animate.","Community motion","MODERATE","lanternwake","HP-NC-013","HP-NC-065","Project_Homeport_Community_Search_and_Review_Correction_Contract.md","homeport.correction.community.search-motion","HP-OWCR1-EV-V-COMMUNITY-FULL-SEARCH","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-038","38","Home-page lantern motion is too subtle.","Home ambient motion","HIGH","lanternwake","HP-NC-018","HP-NC-066","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.home.lantern-motion","HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-039","39","Home-page stars should twinkle occasionally.","Home ambient motion","MODERATE","lanternwake","HP-NC-018","HP-NC-067","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.home.star-motion","HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-040","40","Home-page fog should move.","Home ambient motion","MODERATE","lanternwake","HP-NC-018","HP-NC-068","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.home.fog-motion","HP-OWCR1-EV-Z-HOME-AMBIENT-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-041","41","Reduced-motion behavior must remain safe.","Reduced motion","CRITICAL","lanternwake","HP-NC-018","HP-NC-069","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.motion.reduced","HP-OWCR1-EV-AA-REDUCED-MOTION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-042","42","Player, Captain, and Creator hero icons can initially appear over text and only move into place after hover or click.","Home first paint","HIGH","lanternwake","HP-NC-018","HP-NC-070","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.home.first-paint-icons","HP-OWCR1-EV-Y-HOME-FIRST-PAINT","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-043","43","Initial role-card layout must be correct before first paint.","Home first paint","CRITICAL","lanternwake","HP-NC-018","HP-NC-071","Project_Homeport_Loading_Transition_and_Motion_Contract.md","homeport.correction.home.first-paint-layout","HP-OWCR1-EV-Y-HOME-FIRST-PAINT","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","No correction implementation or validation is claimed by the architecture freeze."
"HP-OWCR1-044","44","Additional directly adjacent defects discovered during correction should be recorded and fixed, not hidden.","Correction governance","HIGH","project-homeport","","","Project_Homeport_Phase_7_Owner_Walkthrough_Correction_Round_1_Architecture.md","homeport.correction.adjacent-defect-traceability","HP-OWCR1-EV-AE-CORRECTION-FULL-REGRESSION","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Process safeguard; no defect record exists until an adjacent defect is actually discovered."
