"routeId","eligibleAccountState","desktopSourceRoute","desktopControl","desktopEdgeId","mobileSourceRoute","mobileControl","mobileEdgeId","destination","permission","parent","return","parityResult","exceptionRationale","evidence"
"route-page-community-creators","ANONYMOUS_ALLOWED","/community","Creators","edge-district-creators","/community","Creators","edge-district-creators","/community/creators","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-featured","ANONYMOUS_ALLOWED","/community","Featured","edge-district-featured","/community","Featured","edge-district-featured","/community/featured","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-guides","ANONYMOUS_ALLOWED","/community","Guides","edge-district-guides","/community","Guides","edge-district-guides","/community/guides","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-maps","ANONYMOUS_ALLOWED","/community","Maps","edge-district-maps-and-location-packs","/community","Maps","edge-district-maps-and-location-packs","/community/maps","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-moderation","AUTHENTICATED_CAPABILITY_REQUIRED","/","Moderation","edge-workspace-moderation","/","Moderation","edge-workspace-moderation","/community/moderation","MODERATOR","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-templates","ANONYMOUS_ALLOWED","/community","Templates","edge-district-templates","/community","Templates","edge-district-templates","/community/templates","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-voyage-logs","ANONYMOUS_ALLOWED","/community","Voyage Logs","edge-district-voyage-logs","/community","Voyage Logs","edge-district-voyage-logs","/community/voyage-logs","NONE","route-page-community","/community","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-voyage-logs-consent","AUTHENTICATED_ACCOUNT_REQUIRED","/community/voyage-logs","Publication consent","edge-community-voyage-log-consent","/community/voyage-logs","Publication consent","edge-community-voyage-log-consent","/community/voyage-logs/consent","PLAYER","route-page-community-voyage-logs","/community/voyage-logs","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-community-voyage-logs-owner","AUTHENTICATED_ACCOUNT_REQUIRED","/community/voyage-logs","Your Voyage Log drafts","edge-community-voyage-log-owner","/community/voyage-logs","Your Voyage Log drafts","edge-community-voyage-log-owner","/community/voyage-logs/owner","PLAYER","route-page-community-voyage-logs","/community/voyage-logs","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-forgot-password","ANONYMOUS_ALLOWED","/sign-in","Forgot Password","edge-sign-in-forgot","/sign-in","Forgot Password","edge-sign-in-forgot","/forgot-password","NONE","route-page-sign-in","/sign-in","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-passport","AUTHENTICATED_ACCOUNT_REQUIRED","/","Chronicle Passport","edge-account-passport","/","Chronicle Passport","edge-account-passport","/passport","NONE","route-page-account","/account","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-passport-artifacts","AUTHENTICATED_ACCOUNT_REQUIRED","/","Artifact Cabinet","edge-account-artifacts","/","Artifact Cabinet","edge-account-artifacts","/passport/artifacts","NONE","route-page-passport","/passport","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-passport-history","AUTHENTICATED_ACCOUNT_REQUIRED","/","Chronicle History","edge-account-history","/","Chronicle History","edge-account-history","/passport/history","NONE","route-page-passport","/passport","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-passport-memories","AUTHENTICATED_ACCOUNT_REQUIRED","/passport","Memories","edge-passport-memories","/passport","Memories","edge-passport-memories","/passport/memories","NONE","route-page-passport","/passport","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-passport-saved","AUTHENTICATED_ACCOUNT_REQUIRED","/passport","Saved","edge-passport-saved","/passport","Saved","edge-passport-saved","/passport/saved","NONE","route-page-passport","/passport","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-player-library","AUTHENTICATED_PLAYER_REQUIRED","/player","Continue to canonical destination","edge-compat-player","/player","Continue to canonical destination","edge-compat-player","/player/library","PLAYER","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-register","ANONYMOUS_ALLOWED","/","Create Account","edge-account-create","/","Create Account","edge-account-create","/register","NONE","route-page-sign-in","/sign-in","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-sign-in","ANONYMOUS_ALLOWED","/","Sign In","edge-account-sign-in","/","Sign In","edge-account-sign-in","/sign-in","NONE","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-studio-exchange","AUTHENTICATED_CAPABILITY_REQUIRED","/studio/library","Exchange","edge-workspace-exchange","/studio/library","Exchange","edge-workspace-exchange","/studio/exchange","CREATOR","route-page-studio-library","/studio/library","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-studio-library","AUTHENTICATED_CAPABILITY_REQUIRED","/studio","Continue to canonical destination","edge-compat-studio","/studio","Continue to canonical destination","edge-compat-studio","/studio/library","CREATOR","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-studio-private-content","AUTHENTICATED_CAPABILITY_REQUIRED","/studio/library","Private Chronicle","edge-workspace-private-chronicle","/studio/library","Private Chronicle","edge-workspace-private-chronicle","/studio/private-content","CREATOR","route-page-studio-library","/studio/library","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-studio-tales-new","AUTHENTICATED_CAPABILITY_REQUIRED","/studio/library","Create Chronicle","edge-studio-new","/studio/library","Create Chronicle","edge-studio-new","/studio/tales/new","CREATOR","route-page-studio-library","/studio/library","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
"route-page-tales","ANONYMOUS_ALLOWED","/","Explore Chronicles","edge-global-explore","/","Explore Chronicles","edge-global-explore","/tales","NONE","route-page-root","/","EXACT_FUNCTIONAL_PARITY","","PENDING_EXACT_SOURCE_BROWSER"
