"finding_id","owner_order","owner_wording","product_area","severity","canonical_owner","parent_nonconformity","correction_nonconformity","architecture_contract","planned_test_contracts","planned_evidence_ids","current_status","limitation"
"HP-OWCR3-011","11","The upper-right account circle must use the avatar when one exists.","Profile imagery","high","wayfarer-profile-media","","HP-NC-167","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-012","12","Initial fallback remains only when no avatar exists.","Profile imagery","high","wayfarer-profile-media","","HP-NC-168","Project_Homeport_Profile_Imagery_and_Crop_Contract.md","profile-media;crop-editor;identity-projection","HP-OWCR3-EV-A;HP-OWCR3-EV-B;HP-OWCR3-EV-C;HP-OWCR3-EV-D;HP-OWCR3-EV-E;HP-OWCR3-EV-G;HP-OWCR3-EV-H","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-013","13","The profile-completion percentage currently occupies too much attention.","Profile Overview","high","personal-harbor","","HP-NC-169","Project_Homeport_Profile_Identity_Presentation_Contract.md","profile-overview;profile-identity","HP-OWCR3-EV-F;HP-OWCR3-EV-I","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-014","14","A handle reminder is useful.","Profile Overview","high","personal-harbor","","HP-NC-170","Project_Homeport_Profile_Identity_Presentation_Contract.md","profile-overview;profile-identity","HP-OWCR3-EV-F;HP-OWCR3-EV-I","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-015","15","A large score/progress bar is not useful.","Profile Overview","high","personal-harbor","","HP-NC-171","Project_Homeport_Profile_Identity_Presentation_Contract.md","profile-overview;profile-identity","HP-OWCR3-EV-F;HP-OWCR3-EV-I","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-016","16","Profile Overview should primarily present the person's identity.","Profile Overview","high","personal-harbor","","HP-NC-172","Project_Homeport_Profile_Identity_Presentation_Contract.md","profile-overview;profile-identity","HP-OWCR3-EV-F;HP-OWCR3-EV-I","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-017","17","The banner and avatar should become the primary visual composition.","Profile Overview","high","personal-harbor","","HP-NC-173","Project_Homeport_Profile_Identity_Presentation_Contract.md","profile-overview;profile-identity","HP-OWCR3-EV-F;HP-OWCR3-EV-I","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-018","18","Registration itself worked well.","Transactional email","high","wayfarer-account-security","","HP-NC-174","Project_Homeport_Registration_Email_Code_Verification_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-019","19","After registration submission, a verification-code screen should appear.","Transactional email","high","wayfarer-account-security","","HP-NC-175","Project_Homeport_Registration_Email_Code_Verification_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-020","20","A verification code must be sent to the entered email address.","Transactional email","critical","wayfarer-account-security","","HP-NC-176","Project_Homeport_Registration_Email_Code_Verification_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-021","21","The person must enter the code before becoming a fully verified ordinary account.","Transactional email","critical","wayfarer-account-security","","HP-NC-177","Project_Homeport_Registration_Email_Code_Verification_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-022","22","The email system must work with real inbox delivery.","Transactional email","critical","wayfarer-account-security","","HP-NC-178","Project_Homeport_Postmark_Transactional_Email_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-023","23","Postmark is the selected staging/production transactional-email provider.","Transactional email","critical","wayfarer-account-security","","HP-NC-179","Project_Homeport_Postmark_Transactional_Email_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-024","24","The synthetic outbox remains for automated/local test isolation.","Transactional email","high","wayfarer-account-security","","HP-NC-180","Project_Homeport_Postmark_Transactional_Email_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-025","25","Verification, password recovery, email change, and security notices must use the same governed provider architecture.","Transactional email","high","wayfarer-account-security","","HP-NC-181","Project_Homeport_Postmark_Transactional_Email_Contract.md","email-code;transactional-email;postmark-adapter","HP-OWCR3-EV-J;HP-OWCR3-EV-K;HP-OWCR3-EV-L;HP-OWCR3-EV-M","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-026","26","The application should default to Dark Mode.","Theme","high","product-shell-theme","","HP-NC-182","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-027","27","New anonymous sessions should start in Dark Mode.","Theme","high","product-shell-theme","","HP-NC-183","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-028","28","New accounts should start in Dark Mode.","Theme","high","product-shell-theme","","HP-NC-184","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-029","29","The owner-review fixture should start in Dark Mode.","Theme","high","product-shell-theme","","HP-NC-185","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-030","30","Light Mode needs additional work, but that work is deferred from this correction round.","Theme","high","product-shell-theme","","HP-NC-186","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-031","31","Round 3 must not become another broad Light Mode redesign.","Theme","high","product-shell-theme","","HP-NC-187","Project_Homeport_Dark_Default_and_Light_Deferral_Contract.md","theme-bootstrap;theme-default","HP-OWCR3-EV-X","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-032","32","The All Workspaces page is visually improved.","Workspace access","critical","homeport-workspace-authority","","HP-NC-188","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-033","33","Captain remains marked UNAVAILABLE.","Workspace access","critical","homeport-workspace-authority","","HP-NC-189","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-034","34","Creator remains marked UNAVAILABLE.","Workspace access","critical","homeport-workspace-authority","","HP-NC-190","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-035","35","This occurs on a newly created account.","Workspace access","critical","homeport-workspace-authority","","HP-NC-191","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-036","36","This occurs before the account has entered any Chronicle.","Workspace access","critical","homeport-workspace-authority","","HP-NC-192","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-037","37","The active-Chronicle lock is therefore not the cause.","Workspace access","critical","homeport-workspace-authority","","HP-NC-193","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-038","38","New-account workspace provisioning is incorrect.","Workspace access","critical","homeport-workspace-authority","","HP-NC-194","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-039","39","Claimed active accounts must be able to enter all three workspaces.","Workspace access","critical","homeport-workspace-authority","","HP-NC-195","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-040","40","Workspace availability must not be confused with ownership of another person's Chronicle, Voyage, draft, or private content.","Workspace access","critical","homeport-workspace-authority","","HP-NC-196","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-041","41","Captain should show a useful empty workspace when no Captain Voyages exist.","Workspace access","critical","homeport-workspace-authority","","HP-NC-197","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-042","42","Creator should show a useful empty workspace and creation action.","Workspace access","critical","homeport-workspace-authority","","HP-NC-198","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-043","43","Existing claimed accounts require safe reconciliation.","Workspace access","critical","homeport-workspace-authority","","HP-NC-199","Project_Homeport_Workspace_Entry_and_Resource_Authority_Contract.md","workspace-entry;resource-authority;reconciliation;active-lock","HP-OWCR3-EV-N;HP-OWCR3-EV-O;HP-OWCR3-EV-P;HP-OWCR3-EV-Q","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-044","44","Current page transitions fade completely to the background.","Route transition","high","platform-motion","","HP-NC-200","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-045","45","They then fade from the background into the destination.","Route transition","high","platform-motion","","HP-NC-201","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-046","46","The result feels like a soft blink.","Route transition","high","platform-motion","","HP-NC-202","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-047","47","Pages should crossfade directly into one another.","Route transition","high","platform-motion","","HP-NC-203","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-048","48","No empty background-only frame should be visible.","Route transition","high","platform-motion","","HP-NC-204","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-049","49","The shell should remain stable.","Route transition","high","platform-motion","","HP-NC-205","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-050","50","Loading remains governed separately by the 500 ms threshold.","Route transition","high","platform-motion","","HP-NC-206","Project_Homeport_Route_Crossfade_Transition_Contract.md","route-crossfade;loading-threshold;focus-scroll","HP-OWCR3-EV-R;HP-OWCR3-EV-S;HP-OWCR3-EV-T","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-051","51","The upper-right Profile dropdown still has no perceptible animation.","Account dropdown","high","product-shell","","HP-NC-207","Project_Homeport_Account_Menu_Motion_Contract.md","account-menu-motion;frame-evidence","HP-OWCR3-EV-U;HP-OWCR3-EV-V;HP-OWCR3-EV-W","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-052","52","Prior automated proof did not match owner perception.","Account dropdown","high","product-shell","","HP-NC-208","Project_Homeport_Account_Menu_Motion_Contract.md","account-menu-motion;frame-evidence","HP-OWCR3-EV-U;HP-OWCR3-EV-V;HP-OWCR3-EV-W","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-053","53","The real production dropdown requires stronger, visible motion.","Account dropdown","high","product-shell","","HP-NC-209","Project_Homeport_Account_Menu_Motion_Contract.md","account-menu-motion;frame-evidence","HP-OWCR3-EV-U;HP-OWCR3-EV-V;HP-OWCR3-EV-W","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
"HP-OWCR3-054","54","Opening and closing must both be proven through frame evidence.","Account dropdown","high","product-shell","","HP-NC-210","Project_Homeport_Account_Menu_Motion_Contract.md","account-menu-motion;frame-evidence","HP-OWCR3-EV-U;HP-OWCR3-EV-V;HP-OWCR3-EV-W","ARCHITECTURE_FROZEN_IMPLEMENTATION_PENDING","Architecture freeze only; implementation, live-provider delivery, evidence acceptance, Sounding Line, publication, owner re-review, merge, and deployment remain unproven."
