surface,application,route_or_screen,source_file,component_or_key,current_copy,speaker_type,audience,current_term,canonical_replacement,voice_layer,severity,action,status,intentional_exception,notes,test_evidence
Captain,Captain's Console,dashboard,src/components/captain/CaptainDashboard.tsx,headings and status,"GM / campaign",SYSTEM,CAPTAIN,"GM / campaign",Captain / Voyage,captain,HIGH,Replace,COMPLETE,,Control behavior unchanged,Captain focused tests; build
Studio,Voyagewright Studio,Studio home,src/components/studio/StudioHome.tsx,creator calls to action,"Chronicle",SYSTEM,CREATOR,"Chronicle",Chronicle,studio,BLOCKER,Replace,COMPLETE,,Creator voice remains clear,Studio focused tests; 84-file unit run
Studio,Voyagewright Studio,new Chronicle,src/components/studio/NewTaleForm.tsx,form labels,Tale,SYSTEM,CREATOR,Tale,Chronicle,studio,HIGH,Replace,COMPLETE,,Form submission behavior preserved,Studio focused tests; build
Studio,Voyagewright Studio,editor,src/components/studio/TaleEditor.tsx,editor labels and validation,"story block / Tale",SYSTEM,CREATOR,"story block / Tale",Passage / Chronicle,studio,HIGH,Replace,COMPLETE,,DnD and animation hooks preserved,TaleEditor tests; 84-file unit run
Studio,Voyagewright Studio,block registry,src/chronicle/block-registry.ts,display labels,"Story block",SYSTEM,CREATOR,"Story block",Passage,studio,HIGH,Replace,COMPLETE,"Internal type names remain technical legacy","Registry display terms migrated",registry assertions; language validator
API errors,Voyagewright,client-reachable API routes,src/app/api,JSON error payloads,"campaign / generic error",SYSTEM,SYSTEM,"campaign / generic error",Chronicle / Voyage / actionable error,platform,HIGH,Replace,COMPLETE,,Technical codes and logs retained,API tests; typecheck; build
Accessibility,Voyagewright,global components,src/components,ARIA labels and titles,"ambiguous replay/open/close",SYSTEM,PUBLIC,ambiguous labels,specific controlled object,platform,HIGH,Replace,COMPLETE,,Accessible labels name the controlled object,component tests; language validator
Routes,Voyagewright,public route labels,src/app,visible page titles and links,"tale / campaign",SYSTEM,PUBLIC,"tale / campaign",Chronicle / Voyage,platform,MEDIUM,Defer,DEFERRED,"Routes retained internally","Visible labels migrated; redirects require integration compatibility review",language validator; build
Chronicle content,Sample content,seeded narration and documents,prisma/seed.ts and src/chronicle,authored prose,,NARRATOR,PLAYER,Chronicle-authored language,Preserve author voice,chronicle,INFORMATIONAL,Preserve,PRESERVED,"Preserved unless placeholder or product leakage","Platform language does not rewrite Chronicle authors",content boundary documented
Connector,External application,all,not present,not present,,SYSTEM,SYSTEM,none,none,connector,INFORMATIONAL,Record,NOT PRESENT,"No connector package tracked","Requires a separate repository if later introduced",repository audit
Desktop / installer,External application,all,not present,not present,,SYSTEM,SYSTEM,none,none,platform,INFORMATIONAL,Record,NOT PRESENT,"No wrapper; installer; updater; or manifest tracked","Requires a separate repository if later introduced",repository audit
Email,External service,all,not present,not present,,SYSTEM,SYSTEM,none,none,platform,INFORMATIONAL,Record,NOT PRESENT,"No email templates or service tracked","Requires a separate repository if later introduced",repository audit
