Requirement ID,Source,Surface,Animation name,User moment,Authoritative trigger,Current implementation,Correct runtime,Supporting runtime,SceneHost or local host,Required targets,Optional targets,Full behavior,Gentle behavior,Reduced behavior,Replay policy,One-shot key,Failure fallback,Focus behavior,Live-region behavior,Sound label,Duration budget,Performance budget,Implementation status,Source files,Test IDs,Visual checkpoints,Implemented commit,Validation status
MX-010,MX,Captain sign-in,Command credential entrance,Give the Captain path a distinct but fast identity. Chart-room panel and brass controls settle from a shallow depth plane. Sound: wood-creak. Duration: 240-420 ms.,Route mount,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Chart-room panel and brass controls settle from a shallow depth plane (240-420 ms),Shorter travel and fewer secondary layers,Opacity and border state only,Every route visit,not stored; request identity and authoritative accepted response gate the handoff,Static form,Opacity and border state only; never delay focus or state announcement,Opacity and border state only; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-011,MX,Captain sign-in,Credential listening state,Show that the command is pending without blocking context. Keyhole/submit affordance holds a looping low-amplitude pulse. Sound: mechanism-hum. Duration: Until response; 900 ms loop.,Pending Captain authentication,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Keyhole/submit affordance holds a looping low-amplitude pulse (Until response; 900 ms loop),Shorter travel and fewer secondary layers,Static pending label,Per request,not stored; request identity and authoritative accepted response gate the handoff,Spinner plus text,Static pending label; never delay focus or state announcement,Static pending label; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-012,MX,Captain sign-in,Permission mismatch,Explain that identity succeeded but role did not. Panel splits to reveal the correct role destination and a clear return action. Sound: None. Duration: 260-420 ms.,Authenticated account lacks Captain role,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Panel splits to reveal the correct role destination and a clear return action (260-420 ms),Shorter travel and fewer secondary layers,Immediate mismatch panel,Every mismatch,not stored; request identity and authoritative accepted response gate the handoff,Static permission message,Immediate mismatch panel; never delay focus or state announcement,Immediate mismatch panel; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-013,MX,Captain sign-in,Command surface handoff,Connect success to the Captain library. Authenticated brass plate becomes the destination header anchor. Sound: brass-latch. Duration: 280-500 ms.,Successful Captain sign-in,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Authenticated brass plate becomes the destination header anchor (280-500 ms),Shorter travel and fewer secondary layers,Static success then navigate,Once per successful submission,not stored; request identity and authoritative accepted response gate the handoff,Immediate navigation,Static success then navigate; never delay focus or state announcement,Static success then navigate; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-014,MX,Creator sign-in,Studio credential entrance,"Differentiate the Creator workspace from Captain command. Paper stack, nib, and form controls settle with restrained layout motion. Sound: quill-scratch. Duration: 240-400 ms.",Route mount,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with CSS,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Paper stack, nib, and form controls settle with restrained layout motion (240-400 ms)",Shorter travel and fewer secondary layers,Opacity only,Every route visit,not stored; request identity and authoritative accepted response gate the role-specific handoff,Static form,Opacity only; never delay focus or state announcement,Opacity only; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-015,MX,Creator sign-in,Autosaved identity hint,Reduce uncertainty for returning creators. Remembered identity chip expands beside the username field. Sound: None. Duration: 180-280 ms.,Remembered Creator session or username,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Remembered identity chip expands beside the username field (180-280 ms),Shorter travel and fewer secondary layers,Immediate chip,Once per mount,not stored; request identity and authoritative accepted response gate the role-specific handoff,Static hint,Immediate chip; never delay focus or state announcement,Immediate chip; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-016,MX,Creator sign-in,Permission mismatch,Provide a recoverable path to the authorized workspace. Role badge rotates to the authorized destination while the message stays readable. Sound: None. Duration: 220-360 ms.,Authenticated account lacks Creator role,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Role badge rotates to the authorized destination while the message stays readable (220-360 ms),Shorter travel and fewer secondary layers,Immediate badge/text change,Every mismatch,not stored; request identity and authoritative accepted response gate the role-specific handoff,Static permission message,Immediate badge/text change; never delay focus or state announcement,Immediate badge/text change; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-017,MX,Creator sign-in,Studio handoff,Preserve continuity into authored work. Success state expands into the Studio shell title region. Sound: quill-scratch. Duration: 300-520 ms.,Successful Creator sign-in,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Success state expands into the Studio shell title region (300-520 ms),Shorter travel and fewer secondary layers,Static success then navigate,Once per successful submission,not stored; request identity and authoritative accepted response gate the role-specific handoff,Immediate navigation,Static success then navigate; never delay focus or state announcement,Static success then navigate; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; route 460/280/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/StaffSignIn.tsx; src/components/platform/PlatformRelic.tsx; src/components/ui/AsyncState.tsx; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/StaffSignIn.test.tsx; src/components/ui/AsyncState.test.tsx,idle; pending; slow; failure; permission mismatch; success final before route,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-018,MX,Invitation ceremony,Invitation resolution loading,Make code resolution feel intentional instead of blank. Closed envelope holds a stable pending pose with a small wax glint. Sound: seal-pressure. Duration: Until response; 1200 ms loop.,Invitation route mount while lookup is pending,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Closed envelope holds a stable pending pose with a small wax glint (Until response; 1200 ms loop),Shorter travel and fewer secondary layers,Static closed envelope and status text,Once per lookup,operation-local invitation state plus authoritative acceptance receipt; mutation is never replayed,Skeleton and status text,Static closed envelope and status text; never delay focus or state announcement,Static closed envelope and status text; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/InvitationCeremony.tsx; src/animation/scenes/access.scene.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/InvitationCeremony.test.tsx; src/animation/scenes/scene-builders.test.ts,resolving; valid closed/open; PIN; invalid; expired; revoked; accepting; seal fracture; ribbon release; title; accepted final; decline final; replacement final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-019,MX,Invitation ceremony,Valid invitation reveal,Confirm the invitation belongs to a specific voyage. Envelope opens to a readable card; no external state is controlled by Lottie. Sound: paper-flutter. Duration: 650-1000 ms.,Valid invitation payload received,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,GSAP with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Envelope opens to a readable card; no external state is controlled by Lottie (650-1000 ms),Shorter travel and fewer secondary layers,Immediate open card state,Once per invitation load; manual replay allowed,operation-local invitation state plus authoritative acceptance receipt; mutation is never replayed,Static invitation card,Immediate open card state; never delay focus or state announcement,Immediate open card state; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/InvitationCeremony.tsx; src/animation/scenes/access.scene.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/InvitationCeremony.test.tsx; src/animation/scenes/scene-builders.test.ts,resolving; valid closed/open; PIN; invalid; expired; revoked; accepting; seal fracture; ribbon release; title; accepted final; decline final; replacement final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-020,MX,Invitation ceremony,Invalid invitation,"Make failure unmistakable and recoverable. Seal refuses, card remains closed, and recovery actions enter without spatial punishment. Sound: None. Duration: 240-420 ms.",Invalid code response,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,"Seal refuses, card remains closed, and recovery actions enter without spatial punishment (240-420 ms)",Shorter travel and fewer secondary layers,Stable rejected pose and alert,Every invalid lookup,operation-local invitation state plus authoritative acceptance receipt; mutation is never replayed,Static error panel,Stable rejected pose and alert; never delay focus or state announcement,Stable rejected pose and alert; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/InvitationCeremony.tsx; src/animation/scenes/access.scene.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/InvitationCeremony.test.tsx; src/animation/scenes/scene-builders.test.ts,resolving; valid closed/open; PIN; invalid; expired; revoked; accepting; seal fracture; ribbon release; title; accepted final; decline final; replacement final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-021,MX,Invitation ceremony,Expired or revoked invitation,Differentiate terminal invitation states. Wax desaturates and a dated/revoked banner unfolds from the card edge. Sound: pause-wind-down. Duration: 300-520 ms.,Expired or revoked status,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Wax desaturates and a dated/revoked banner unfolds from the card edge (300-520 ms),Shorter travel and fewer secondary layers,Immediate terminal banner,Once per status load,operation-local invitation state plus authoritative acceptance receipt; mutation is never replayed,Static terminal state,Immediate terminal banner; never delay focus or state announcement,Immediate terminal banner; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/InvitationCeremony.tsx; src/animation/scenes/access.scene.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/InvitationCeremony.test.tsx; src/animation/scenes/scene-builders.test.ts,resolving; valid closed/open; PIN; invalid; expired; revoked; accepting; seal fracture; ribbon release; title; accepted final; decline final; replacement final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
MX-022,MX,Invitation ceremony,PIN validation,Tie the PIN to the seal rather than a generic form. Each accepted digit illuminates one seal notch; rejection clears only the notches. Sound: compass-click. Duration: 90-180 ms per digit.,PIN input and response,Phase 4 implemented with authoritative semantic fallback and mode-aware presentation,Motion with Rive,None; missing opportunity,no,Dedicated screen-local wrapper and named semantic state,,Each accepted digit illuminates one seal notch; rejection clears only the notches (90-180 ms per digit),Shorter travel and fewer secondary layers,Textual progress and focus only,Every edit/attempt,operation-local invitation state plus authoritative acceptance receipt; mutation is never replayed,Normal PIN form,Textual progress and focus only; never delay focus or state announcement,Textual progress and focus only; never delay focus or state announcement,silent by policy; no unvalidated semantic audio cue,state 320/200/60 ms; ceremony 1100/700/0 ms (full/gentle/reduced),Budget transform/opacity first; pause hidden ambience,validated,src/components/platform/InvitationCeremony.tsx; src/animation/scenes/access.scene.ts; src/styles/platform.css,Development_Docs/Animation_System_Test_Plan.md; src/components/platform/InvitationCeremony.test.tsx; src/animation/scenes/scene-builders.test.ts,resolving; valid closed/open; PIN; invalid; expired; revoked; accepting; seal fracture; ribbon release; title; accepted final; decline final; replacement final,7521afa049b73ba39cd9d237773a6772d3656b5d,passed
