Schema Version,Shard ID,Source ID,Source Ordinal,Source Section,Source Requirement,Source SHA256,Baseline Matrix IDs,Baseline Coverage Status,Current Matrix IDs,New Matrix IDs,Coverage Status,Coverage Rationale,Uncovered Scope,Mapping Evidence,Correct Libraries,Trigger,Replay Policy,Reduced Motion Behavior,Acceptance Criteria,Test Plan References,Roadmap Phase,Project Lanternwake Phase,Implementation Status,Architecture Dependency,Scene Host Required,Ownership Contract Required,Target Contract Required,Architecture Validation Status,Architecture Evidence,Blocked By,Implemented In Commit,Validation Status,Validation Evidence,Superseded By,Disposition Decision ID,Disposition Date,Disposition Rationale,Approval Reference,Notes
lanternwake-reconciliation/v1,O2,OA-074,74,Waiting room,Background ocean or cabin ambience.,6cd2747e9696eb833b4c7600de87ecb0df08d6ed09e0ffb1681c04e48980cdee,AG-001,partial,MX-188,MX-188,exact,Dedicated waiting-room ambience row preserves the surface and lifecycle boundary.,,src/components/platform/PlayerVoyageRoom.tsx;src/components/landing/HarborLanding.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,css;gsap,The waiting-room host mounts in full or gentle motion mode.,Ambient only while mounted and visible; restart only after remount or policy change.,Render static atmosphere and keep all status content readable.,"Decorative ambience stays inside its host, pauses when hidden, and releases all timelines on unmount.",Development_Docs/Animation_System_Test_Plan.md ambient performance and cleanup cases; planned waiting-room lifecycle test.,Phase 4,Phase 4,architecture_blocked,Waiting-room decorative host target and provider-scoped GSAP/CSS ownership.,yes,yes,yes,in_progress,src/components/platform/PlayerVoyageRoom.tsx;src/components/landing/HarborLanding.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Pending Phase 2 architecture implementation and focused validation.,,planned,,,,,,,Baseline coverage rationale: Landing lantern sway supplies ambience precedent but does not represent waiting-room ocean or cabin ambience.
lanternwake-reconciliation/v1,O2,OA-075,75,Waiting room,Planned-start arrival emphasis.,a86b2effd9eb779cc226fb1ca663d1a50afe4be516f50d49f1a1ef136ca16ecd,MX-048,partial,MX-189,MX-189,exact,Dedicated planned-start emphasis row preserves the threshold event separately from countdown updates.,,src/components/platform/PlayerVoyageRoom.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,motion,The scheduled countdown reaches the planned-start threshold before launch confirmation.,Once per schedule version; no replay after refresh beyond the threshold.,Emphasize with readable text/state only and no motion.,"One bounded emphasis occurs at the threshold, never repeats each timer tick, and remains distinct from Captain launch.",Development_Docs/Animation_System_Test_Plan.md timer threshold and event identity cases; planned scheduled-start test.,Phase 4,Phase 4,architecture_blocked,Stable threshold event identity and Motion target inside the waiting-room host.,yes,yes,yes,in_progress,src/components/platform/PlayerVoyageRoom.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Pending Phase 2 architecture implementation and focused validation.,,planned,,,,,,,Baseline coverage rationale: The countdown row exposes planned start but does not specify arrival emphasis at the planned moment.
lanternwake-reconciliation/v1,O2,OA-076,76,Journal introduction,Better continuity from atmospheric prelude to physical book.,99b77adee26c7548e5c4194192051b82cfb4bd9e281468065a3da840a638cb74,AC-001;AS-001,partial,MX-190,MX-190,exact,Dedicated continuity row preserves the handoff between narrative hosts.,,src/animation/scenes/arrival.scene.ts;src/animation/journal/opening-machine.ts;src/components/player/PlayerExperience.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,css;gsap;web_animations_api,A full first-arrival journal introduction proceeds from prelude completion to physical book opening.,Once per automatic first introduction; explicit replay uses persisted presentation data only.,Skip to the grounded closed book and continue at a readable opening state.,"Prelude cleanup hands one stable visual state to the physical book without a blank frame, duplicate host, or restored arrival pose.",src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md host handoff cases; planned first-introduction browser test.,Phase 3,Phase 3,partially_implemented,Arrival and journal host registrations plus explicit final-state handoff between GSAP and CSS/WAAPI ownership.,yes,yes,yes,in_progress,src/animation/scenes/arrival.scene.ts;src/animation/journal/opening-machine.ts;src/components/player/PlayerExperience.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Arrival and the nine-phase opening exist but lack an explicit atmospheric-prelude-to-book continuity contract.
lanternwake-reconciliation/v1,O2,OA-077,77,Journal introduction,Camera move toward closed book.,1a8d379e4535baed818f77b3e3f03996b83b435391f61a7e686bd03126627cd2,AC-011,combined,AC-011,,exact,The shared physical-journal row remains truthful for the camera move.,,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,A full opening enters the grounded closed-book camera phase.,Every full opening or explicit introduction replay; omitted for short resume.,Place the closed book directly at its settled readable scale and position.,"Camera movement remains bounded to the journal stage, preserves viewport fit, and completes before latch release.",src/animation/journal/opening-machine.test.ts;src/components/player/journal/TallTaleJournalSession.test.ts;Development_Docs/Animation_System_Test_Plan.md viewport cases.,Phase 3,Phase 3,partially_implemented,Journal opening host and WAAPI/CSS camera property claim on a nonsemantic stage wrapper.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: The physical book camera row fully covers the move toward the closed book while sharing the broader book-material contract.
lanternwake-reconciliation/v1,O2,OA-078,78,Journal introduction,Shadow grounding before latch movement.,822884277789084065873c1d4bfe91ae9e15a18a45846401f9f38e1655aa753b,AC-011,partial,MX-191,MX-191,exact,Dedicated shadow-grounding row captures timing and target specificity.,,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,The closed-book camera phase settles before latch release.,Every full opening; no independent replay.,Render the settled book shadow immediately.,"Shadow reaches its grounded final state before latch motion, remains decorative, and cleans up with the journal host.",src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md ordered-phase and reduced-motion cases.,Phase 3,Phase 3,partially_implemented,Journal host-local decorative shadow target and ordered CSS/WAAPI ownership.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: The physical book row includes a shadow actor but not the required grounding-before-latch timing contract.
lanternwake-reconciliation/v1,O2,OA-079,79,Journal introduction,Real Rive clasp response.,ba2ccea81a0223bcd23e4dd004da54292aa16c2ecdd552297bf0fff21efaa964,AR-002;MX-052,exact,AR-002;MX-052,,exact,Existing rows remain the dedicated clasp mapping; authored visual work remains future.,,src/animation/assets/rive-contracts.ts;src/components/animation/RiveStatefulObject.tsx;src/animation/journal/opening-machine.ts;Development_Docs/Animation_System_Audit_Matrix.csv,gsap;rive,A full journal opening reaches the clasp-response phase or the user activates the clasp.,Every full opening; manual interaction may replay only the clasp response.,Use the stable static clasp fallback and continue the readable opening.,"The authored state machine responds once per trigger, exposes a truthful fallback, and never lets GSAP and Rive write the same property group.",Development_Docs/Animation_System_Test_Plan.md Rive fallback and ownership-pair cases; planned clasp contract test.,Phase 3,Phase 3,architecture_blocked,Rive runtime-surface lease and explicit GSAP/Rive property separation inside the journal host.,yes,yes,yes,in_progress,src/animation/assets/rive-contracts.ts;src/components/animation/RiveStatefulObject.tsx;src/animation/journal/opening-machine.ts;Development_Docs/Animation_System_Audit_Matrix.csv,Pending Phase 2 architecture implementation and focused validation.,,planned,,,,,,,Baseline coverage rationale: The Journal Clasp Rive contract and project-authored clasp opportunity directly preserve the requirement.
lanternwake-reconciliation/v1,O2,OA-080,80,Journal introduction,Cover weight and secondary bounce.,0af8da8872b4219c674f3e8c53d5771290791d4b12569f5b70b4b96768dc5379,AC-011,partial,MX-192,MX-192,exact,Dedicated cover-weight row closes the motion-specific gap.,,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,A full opening advances from latch release into cover opening.,Every full opening; short resume starts from a settled open state.,Place the cover at its open final pose with no bounce.,The cover conveys bounded weight and one secondary response without overshoot exposing hidden source pages or delaying readability.,src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md phase timing and reduced-motion cases.,Phase 3,Phase 3,partially_implemented,Journal cover target handle and CSS/WAAPI transform ownership through final-state reconciliation.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: The physical cover row exists but does not explicitly preserve cover weight and secondary bounce.
lanternwake-reconciliation/v1,O2,OA-081,81,Journal introduction,Page-stack compression as cover opens.,701066c5b7f899b9da5fffc9aa298f17d28353c0cdcaee4ae57c534fb48c220a,AC-011,partial,MX-193,MX-193,exact,Dedicated page-stack compression row preserves the actor and timing.,,src/animation/journal/opening-machine.ts;src/components/animation/PageFlipBook.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,The cover begins opening during a full journal introduction.,Every full opening; not replayed independently.,Render page stacks in their settled open-book geometry.,Visible page stacks compress with the cover while hidden PageFlip source nodes remain excluded from animation targets.,src/animation/journal/opening-machine.test.ts;src/components/animation/PageFlipBook.test.tsx;Development_Docs/Animation_System_Test_Plan.md PageFlip boundary cases.,Phase 3,Phase 3,partially_implemented,Journal material target contract plus PageFlip source-boundary exclusion.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/animation/PageFlipBook.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Page-stack actors exist but compression synchronized with cover opening is not a dedicated contract.
lanternwake-reconciliation/v1,O2,OA-082,82,Journal introduction,Seal pressure before fracture.,b1cfa0cec18342a8321b20268e3dd89ff994d0a04d707f1bd4530be9c67c801a,AC-012,partial,MX-194,MX-194,exact,Dedicated seal-pressure row captures the pre-fracture phase.,,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,A full opening reaches the sealed-page pressure phase.,Every full opening; no independent replay after the seal is semantically open.,Show the seal at its final broken/open state and continue.,"One bounded pressure state precedes fracture, does not alter semantic access truth, and yields cleanly to fragment motion.",src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md ordered seal phases.,Phase 3,Phase 3,partially_implemented,Seal target handle and ordered CSS/WAAPI property claims within the opening instance.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Seal breakup exists but the pressure beat before fracture is not represented independently.
lanternwake-reconciliation/v1,O2,OA-083,83,Journal introduction,Wax fragment depth and landing.,596c549b876c07f075287aada85bb39ae12c9fd95b400d3b114fa8c3b12e2ccc,AC-012,partial,MX-195,MX-195,exact,"Dedicated wax-fragment row preserves fragment identity, depth, and landing.",,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,Seal fracture completes during a full opening.,Every full opening; fragments are recreated only with a new opening instance.,Hide or settle fragments immediately while preserving the open seal state.,"All decorative fragments remain host-local, land once, become inert, and leave no retained nodes or timers after cleanup.",src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md fragment cleanup and lifecycle cycles.,Phase 3,Phase 3,partially_implemented,Instance-local fragment targets and bounded CSS/WAAPI ownership with retained-node cleanup.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Wax fragments exist in the broad seal row but depth and landing are not contracted.
lanternwake-reconciliation/v1,O2,OA-084,84,Journal introduction,Open-page handoff that visually matches the StPageFlip geometry.,d2c3d7df918ef2c2f14b6c6117d786a96e73219db3901216134080c3358fc23e,MX-053,exact,MX-053,,exact,The existing row remains the dedicated boundary mapping.,,src/components/animation/PageFlipBook.tsx;src/components/animation/PageFlipBook.test.tsx;src/animation/journal/opening-machine.ts;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;st_page_flip;web_animations_api,The physical opening settles and visible PageFlip initialization becomes eligible.,Every full opening and runtime recreation; no fake page-turn replay.,Render the current readable page directly with static controls.,The open-book geometry matches the visible primary PageFlip stage; hidden source and stale clones never qualify or receive writes.,src/components/animation/PageFlipBook.test.tsx;src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md fourteen PageFlip cases.,Phase 3,Phase 3,partially_implemented,"PageFlip source/clone boundaries, visible-primary identity, and exclusive runtime-surface ownership.",yes,yes,yes,in_progress,src/components/animation/PageFlipBook.tsx;src/components/animation/PageFlipBook.test.tsx;src/animation/journal/opening-machine.ts;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Phase 2 ownership-boundary integration and visual acceptance remain pending.,,planned,,,,,,,Baseline coverage rationale: Cover-to-PageFlip ownership handoff directly represents the open-page geometry requirement.
lanternwake-reconciliation/v1,O2,OA-085,85,Journal introduction,Book-settle secondary motion.,34b79e57414117abf4084eeed84df93cb9fac539228d31a7a8923186f0887426,AC-011,partial,MX-196,MX-196,exact,Dedicated book-settle row preserves the post-open secondary beat.,,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,Cover opening and page geometry handoff reach their settled state.,Every full opening; omitted for short resume and reduced motion.,Apply the fully settled readable book state immediately.,One bounded secondary settle completes before controls arrive and never competes with PageFlip transforms.,src/animation/journal/opening-machine.test.ts;Development_Docs/Animation_System_Test_Plan.md final-state and runtime ownership cases.,Phase 3,Phase 3,partially_implemented,Journal stage target and final-state handoff separated from PageFlip runtime ownership.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: The physical book row includes settle behavior but not an explicit secondary-motion contract after opening.
lanternwake-reconciliation/v1,O2,OA-086,86,Journal introduction,Interface controls arriving as physical desk objects.,239628502216d9f5e9650629406fbf00a16d3518ad86f50862acdc50ee37313b,,missing,MX-197,MX-197,exact,Dedicated journal-controls arrival row closes the accepted requirement gap.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css,motion,The opening reaches journal-ready after book settle.,Every full opening; short resume may show settled controls without arrival.,Show all native controls immediately in stable focus order.,"Decorative wrappers may enter as desk objects while native controls retain semantics, hit targets, keyboard order, and focus.",Development_Docs/Animation_System_Test_Plan.md focus order and control ownership cases; planned journal-controls component test.,Phase 3,Phase 3,partially_implemented,Journal chrome host with Motion wrapper ownership separated from native interactive nodes.,yes,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;src/components/player/journal/TallTaleJournalSession.tsx;src/styles/player.css,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: No frozen matrix row represented controls arriving as physical desk objects.
lanternwake-reconciliation/v1,O2,OA-087,87,Journal introduction,Objective note sliding from beneath the journal.,f9b5ddb4fb7b4c890599448df028c4b1369d54f38ae8ba1d5da7118e777ffc02,MX-058,partial,MX-198,MX-198,exact,Dedicated objective-note physical reveal row closes the geometry gap.,,src/components/player/workspace/ObjectiveNote.tsx;src/components/animation/PageFlipBook.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,motion;st_page_flip,The relevant readable journal page becomes current with an available objective.,Once per objective version and relevant page visit; replay does not mutate progress.,Render the objective note in place and readable with no slide.,The keyed note slides from its reserved layer without moving the physical page or stealing focus; reduced mode remains readable.,src/components/animation/PageFlipBook.test.tsx;Development_Docs/Animation_System_Test_Plan.md current-page qualification and focus cases; planned ObjectiveNote test.,Phase 3,Phase 3,partially_implemented,Explicit current-page target handle and Motion wrapper outside StPageFlip-owned transforms.,yes,yes,yes,in_progress,src/components/player/workspace/ObjectiveNote.tsx;src/components/animation/PageFlipBook.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Objective note reveal exists but does not preserve the slide-from-beneath-journal geometry.
lanternwake-reconciliation/v1,O2,OA-088,88,Journal introduction,Short resume opening distinct from full replay.,2cf46914a1b8d0a32abd6a0feab3f856de0f847958bd600cfef6aba9b4563a91,MX-055,exact,MX-055,,exact,The existing row remains the dedicated resume-opening mapping.,,src/components/player/PlayerExperience.tsx;src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,css;gsap;web_animations_api,A returning Player opens an in-progress journal without requesting Replay introduction.,Once per route reentry; explicit Replay introduction remains a separate full path.,Show the readable open journal immediately at the restored section and page.,"Short resume omits full prelude and seal ceremony, restores persisted section/page, and never mutates server progress.",src/animation/journal/opening-machine.test.ts;src/components/player/journal/TallTaleJournalSession.test.ts;Development_Docs/Animation_System_Test_Plan.md replay-policy cases.,Phase 3,Phase 3,partially_implemented,Distinct resume invocation identity and final-state restoration through the journal host.,yes,yes,yes,in_progress,src/components/player/PlayerExperience.tsx;src/animation/journal/opening-machine.ts;src/components/player/journal/TallTaleJournalSession.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Remaining visual integration and acceptance validation are pending.,,planned,,,,,,,Baseline coverage rationale: Abbreviated reentry directly represents a short resume distinct from full replay.
lanternwake-reconciliation/v1,O2,OA-089,89,Journal introduction,Completed-archive opening.,9ef970417fa66f743191cefcff54720e399598f004ed801e60ac855540c0e9f9,,missing,MX-199,MX-199,exact,Dedicated completed-archive opening row preserves the accepted future requirement.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;src/components/platform/PlayerLibrary.tsx;src/components/animation/PageFlipBook.tsx,css;motion;st_page_flip,A Player opens a completed archived journal volume from the library.,Every user-initiated archive open; no automatic full-introduction replay.,Open directly to the readable archived journal with completion state visible.,"Archive opening remains visually distinct, preserves completed read-only semantics, and initializes only the visible primary PageFlip surface.",Development_Docs/Animation_System_Test_Plan.md archive state and PageFlip boundary cases; planned completed-volume browser test.,Phase 5,Phase 5,architecture_blocked,"Archive journal host, read-only semantic final state, and PageFlip source/clone boundary contracts.",yes,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md;src/components/platform/PlayerLibrary.tsx;src/components/animation/PageFlipBook.tsx,Pending Phase 2 architecture implementation and focused validation.,,planned,,,,,,,Baseline coverage rationale: No frozen matrix row represented an opening treatment for a completed archived volume.
lanternwake-reconciliation/v1,O2,OA-090,90,Journal introduction,Interrupted-opening recovery.,d334c5d9ec76d93191ceeb1dc085005e266660911a11ed1024a482e068b3c3b7,MX-054,exact,MX-054,,exact,The existing row remains the truthful interruption-recovery mapping.,,src/animation/journal/opening-machine.ts;src/animation/journal/opening-machine.test.ts;src/components/player/journal/TallTaleJournalSession.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,css;web_animations_api,"The journal opening aborts, times out, is skipped, unmounts, or loses its active instance.",Every interruption; recovery itself is idempotent and is not replayed after convergence.,Converge immediately on a readable journal-ready or explicitly closed semantic state according to the typed outcome.,"Every abort, timeout, skip, unmount, and stale-instance path resolves once, clears animations and timers, and never leaves unreadable intermediate state.",src/animation/journal/opening-machine.test.ts;src/components/player/journal/TallTaleJournalSession.test.ts;Development_Docs/Animation_System_Test_Plan.md lifecycle cycles.,Phase 1,Phase 1,partially_implemented,Phase 1 bounded opening machine integrated with Phase 2 host and cleanup identity.,yes,yes,yes,in_progress,src/animation/journal/opening-machine.ts;src/animation/journal/opening-machine.test.ts;src/components/player/journal/TallTaleJournalSession.tsx;Development_Docs/Animation_System_Audit_Matrix.csv,Phase 2 ownership-boundary integration and visual acceptance remain pending.,,planned,,,,,,,Baseline coverage rationale: Interrupted opening recovery is already a dedicated bounded-opening row.
lanternwake-reconciliation/v1,O3,OA-091,91,Journal pages,Page-edge hover lift.,c8fa0d17b79fe7c1a2c0ec731d7959f3a300f141ba3acfb786b704bd24b6d9d2,AP-001,partial,MX-200,MX-200,exact,Dedicated row preserves page-edge hover intent independently of the physical curl.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx; src/styles/player.css,css,Pointer hover or keyboard focus on an eligible visible page edge,Every intent; settle on leave or blur; never replay as a ceremony,Static edge emphasis with no lift,Only the current visible page edge lifts; keyboard focus has equivalent emphasis; no hidden source or stale clone responds; PageFlip retains curl ownership.,"PageFlip visible-primary, source-exclusion, ownership, reduced-mode, focus, and cleanup tests",Phase 3,Phase 3,partially_implemented,Visible-primary PageFlip boundary and CSS/PageFlip property separation,no,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx; src/styles/player.css,Phase 3 visual refinement and acceptance validation,,planned,,,,,,,Baseline coverage rationale: PageFlip owns physical curls but the baseline does not preserve a distinct page-edge hover lift.
lanternwake-reconciliation/v1,O3,OA-092,92,Journal pages,Drag-intent affordance.,c5f633d2a2ee04ece68da51438ae7fadb33c8400287d713937e4abd362861f86,MX-056,partial,MX-201,MX-201,exact,Dedicated row preserves the pre-commit drag-intent cue without replacing PageFlip physics.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,st_page_flip,Pointer or touch drag crosses the PageFlip intent threshold,Every drag attempt; cancel on release below threshold or interruption,Immediate semantic page controls with no drag travel,"Intent cue appears before a committed turn, never mutates hidden source pages, remains bounded to the current visible page, and clears on cancel, commit, or unmount.","PageFlip pointer/touch intent, cancellation, source-exclusion, reduced-mode, and cleanup tests",Phase 3,Phase 3,architecture_blocked,Visible-primary PageFlip handle and exclusive PageFlip transform ownership,no,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,Phase 3 visual implementation and acceptance validation,,planned,,,,,,,Baseline coverage rationale: Page-turn lifecycle labels expose intent-adjacent state but no dedicated drag-intent affordance.
lanternwake-reconciliation/v1,O3,OA-093,93,Journal pages,Page-turn midpoint shadow.,a18336e549cad7feffbb0b8fb1933b3819ff0949f8fedfa5da964313f2baf18f,AC-014;AP-001,partial,MX-202,MX-202,exact,Dedicated row preserves midpoint shadow timing while PageFlip remains the physical-turn owner.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx; src/styles/player.css,css,PageFlip folding progress crosses the midpoint band,"Every committed manual, keyboard, or programmatic turn",Static readable page with restrained fixed shadow or no shadow,"Shadow peaks once near turn midpoint, is decorative, affects only the visible primary clone, and returns to baseline on settle, abort, or unmount.","PageFlip lifecycle, midpoint material, clone eligibility, reduced-mode, interruption, and cleanup tests",Phase 3,Phase 3,partially_implemented,PageFlip clone identity plus CSS/PageFlip wrapper ownership,no,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx; src/styles/player.css,Phase 3 midpoint timing integration and acceptance validation,,planned,,,,,,,Baseline coverage rationale: PageFlip and CSS materials provide curl and filter response but do not specify a midpoint-only shadow contract.
lanternwake-reconciliation/v1,O3,OA-094,94,Journal pages,Chapter-tab-to-page travel.,5810ed9620b56d347de29b4deedb148e5ae4d3e721fbb1b9a2841f7ae3a16ead,MX-057,exact,MX-057,,exact,Existing row remains the exact target; Phase 2 supplies safe PageFlip target and ownership boundaries.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,motion,Chapter tab activation for a different logical page,Every selection; active tab commits when the PageFlip page commit arrives,Immediate page and active-tab state with focus preserved,Selected tab holds during the turn; current tab updates only on commit; explicit logical page identity survives orientation and content updates; interruption restores coherent tab and page state.,"Chapter tab, logical identity, PageFlip lifecycle, focus, reduced-mode, interruption, and cleanup tests",Phase 3,Phase 3,partially_implemented,PageFlip logical identity and Motion/PageFlip ownership boundary,no,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,Phase 3 handoff implementation and browser validation,,planned,,,,,,,Baseline coverage rationale: MX-057 directly preserves chapter-tab-to-page handoff and commit-time tab synchronization.
lanternwake-reconciliation/v1,O3,OA-095,95,Journal pages,Queued-turn indicator.,5c7de0a578b2082cd0edebedbfcc2c55abd835f5a9a9520d6e6b4be97fdd8c20,MX-056,partial,MX-203,MX-203,exact,Dedicated row preserves a non-flashing queued-turn signal keyed to the pending logical destination.,,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,css,A second page-turn request arrives while PageFlip is folding or flipping,While one pending request exists; replace or reject additional requests deterministically,Immediate text or control state indicating the pending destination,"At most one queued indicator is visible; it names or semantically identifies the pending destination; it clears on commit, rejection, abort, or unmount and never implies an uncommitted page is current.","Queued imperative turn, keyboard/programmatic arbitration, accessibility, reduced-mode, and cleanup tests",Phase 3,Phase 3,architecture_blocked,PageFlip invocation identity and deterministic queue ownership,no,yes,yes,in_progress,Development_Docs/KG_Original_Animation_Audit_Reconciliation_Source.md; Development_Docs/Animation_System_Audit_Matrix.csv; src/components/animation/PageFlipBook.tsx,Phase 3 indicator implementation and acceptance validation,,planned,,,,,,,Baseline coverage rationale: Lifecycle labels can report a queued turn but the baseline has no visible queued-turn indicator requirement.
