Legacy model,Legacy field,Legacy meaning,Canonical model,Canonical field,Transformation,Default behavior,Null behavior,Loss risk,Validation rule,Migration test,Rollback handling
Artifact,"id; key; name; description; category",Artifact definition,ChronicleArtifact,"source key in metadata; name; descriptions; category",Create immutable definition per Chronicle,"RELIC category fallback",Optional descriptions omitted,High,"key resolves to exactly one canonical artifact",artifact mapping test,"mapping and version retained"
Artifact,"state; safeName; silhouetteLabel; displayX; displayY; assembly*; chapterOrdinal",Artifact visibility and assembly,ChronicleArtifact + Chronicle Session,"metadata; inventory; RevealState",Carry authored metadata and derive session inventory/reveal entries,"UNKNOWN stays hidden",Missing safe values omitted,High,"inventory/assembly projection equal",award/assembly parity,"reconcile canonical events"
ArtifactAward,"campaignId; artifactId; eventId; awardedAt",Artifact grant,Chronicle Session Event,"artifactGranted payload; createdAt",Append idempotent imported grant and inventory entry,"no award means no inventory",Null event ID gets derived source key,High,"no duplicate inventory entry",duplicate migration run,"reverse via explicit reconciliation only"
SideQuest,"id; key; title; description; state; rewards",Optional branch definition/state,StoryBlock + Chronicle Session,"metadata; variables; RevealState",Model as typed optional branch and session variable/reveal entries,"HIDDEN remains hidden",Null description/reward omitted,High,"state/objectives/reward parity",side-quest discovery/completion,"reconcile session variables"
SideQuestObjective,"ordinal; body; complete",Quest objective,StoryBlock + Chronicle Session,"metadata.objectives; variables",Preserve ordered objectives and completion map,"false remains false",No null body,Medium,"every objective present and boolean equal",objective parity,"rebuild projection from events"
JournalEntry,"title; body; kind; eventId; chapterOrdinal; releasedAt",Player journal/presentation,Chronicle Session Event,"journalEntry payload; sequence",Append sanitized event tied to source mapping,"unreleased omitted",Null event ID uses source ID idempotency,Medium,"released journal projection equals",journal/replay parity,"rebuild journal projection"
MapLocation,"key; name; regionLabel; coordinates; state; revealedAt",Map definition/reveal,ChronicleLocation + RevealState,"metadata; contentKey; revealedAt",Create versioned location and session reveal state,"UNKNOWN stays hidden",Optional mobile coordinates omitted,High,"visible location and coordinates equal",map reveal parity,"reconcile reveal state"
MapRoute,"key; fromKey; toKey; ordinal; state; annotation; revealedAt",Route definition/reveal,StoryBlock metadata + RevealState,"route metadata; contentKey",Preserve ordered route keyed by source key,"HIDDEN stays hidden",Null annotation omitted,High,"only canonical-visible endpoints are shown",route reveal parity,"reconcile reveal state"
ProgressEvent,"id; type; payload; actor; sequence; version; releaseAt; reversesEventId; supersededById",Authoritative legacy history,Chronicle Session Event,"sourceType; sourceId; payload; sequence; createdAt; correlationId",Translate event type/payload with provenance and preserve sequence order,"empty history creates launch/import event only",Null reversal references omitted with warning,High,"unique sequence and semantic normalized event equality",event sequence/restart/idempotency,"restore or reverse projection"
CampaignSnapshot,"sequence; version; state; createdAt",Legacy materialized state,Canonical projection checkpoint,"session projection; migration report",Verify against replay; do not create competing writer,"no snapshot means replay only",No null state,Medium,"normalized state equals replay",shadow comparison,"rebuild canonical projection"
SaveStateSnapshot,"sequence; state; reason; createdAt",Pre-command recovery,Canonical recovery metadata,"event correlation; imported metadata",Preserve sanitized recovery reference without using as writer,"no snapshot retains normal replay",Null reason becomes imported recovery,Medium,"rollback boundary documented",rollback metadata test,"maintenance restore only"
AdminAuditLog,"userId; action; metadata; correlationId; outcome; reason; createdAt",Administrative audit,PlatformAuditEvent,"actorId; action; metadata; correlationId; outcome; createdAt",Sanitize and map resource to Chronicle Session/Chronicle,"missing correlation gets deterministic import correlation",Null user maps legacy-system actor,High if secrets leak,"metadata sanitizer passes",audit privacy/correlation test,"audit remains append-only"
PreparedAction,"command; targetKey; payload; status; expectedSequence; scheduledFor; preparedBy; timestamps",Pending command intent,Canonical command intent event,"payload; idempotencyKey; status",Translate only safe pending/failed/executed intent; never independently execute,"cancelled remains cancelled",Null target is command-specific,High if duplicated command executes,"one canonical command key",prepared action idempotency,"disable adapter and preserve event"
CommandExecution,"idempotencyKey; command; expectedSequence; correlationId; status; result; timestamps",Command deduplication/audit,Chronicle Session Event + PlatformAuditEvent,"idempotencyKey; correlationId; outcome",Preserve source key namespaced by Campaign,"missing result becomes sanitized null",Null completedAt remains pending,High,"re-run returns same canonical event",duplicate command test,"do not replay completed commands"
AudioPreference,"muted; volumes; motionMode; textScale; effects; fullscreen",Player presentation preference,PlayerProfile,"preferences JSON",Merge into safe preference allowlist,"canonical defaults for missing fields",Null optional preference omitted,Low,"no preference changes progression",preference migration test,"delete imported preference keys"
ViewedContent,"contentType; contentKey; viewedAt",Content acknowledgement,RevealState + canonical acknowledgement event,"contentType; contentKey; event time",Import as acknowledgement, not progression,"unseen when absent",No null type/key,Medium,"ack does not change session state",viewed ceremony/replay test,"rebuild from event list"
ViewedCeremony,"deviceId; eventId; viewedAt",Presentation acknowledgement,canonical acknowledgement event,"eventId; device metadata",Import sanitized device reference and event acknowledgement,"no ceremony ack when absent",No null event,Medium,"no duplicate acknowledgement",duplicate acknowledgement test,"rebuild from events"
ContentVersion,"key; version; checksum; publishedAt",Legacy content publication metadata,Published Chronicle Version,"checksum; versionLabel; publishedAt",Use as verification provenance only,"version generated if absent",Null publication remains draft provenance,Low,"checksum report records difference",checksum mismatch test,"no runtime dependency"
LoginAttempt,"fingerprint; succeeded; createdAt",Rate-limit history,LoginAttempt,"same fields",Retain shared security record,"unchanged",No null fingerprint,Low,"login policy unchanged",rate-limit test,"retained table"
