"historical_case_id","source_file","source_line","title","project","protected_contract","historical_architecture_dependency","current_relevance","classification","canonical_replacement_suite","canonical_replacement_test_ids","current_source_files","current_contract_ids","equal_or_stronger_coverage","consolidation_justification","retirement_evidence","remaining_limitation"
"p34-8dc11b96a4cd64538490","tests/e2e/chronicle-studio.spec.ts","169","Studio editor exposes searchable authoring tools and responsive isolated preview","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.studio","sl-studio-studio-editor-exposes-searchable-authoring-tools-and-responsive--f527f14c48-v1","tests/e2e/chronicle-studio.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.studio contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-2dbeb10e1a2d05e19f5e","tests/e2e/chronicle-studio.spec.ts","225","creator authors, aligns, publishes, plays, and reviews a media-rich tale","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.studio","sl-studio-creator-authors-aligns-publishes-plays-and-reviews-a-media-rich--1f7cd71205-v1","tests/e2e/chronicle-studio.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.studio contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-54ff2bdeb1a762b135fc","tests/e2e/command-center.spec.ts","78","preview is nonmutating, stale commands conflict, and idempotency replays safely","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-captain-preview-is-nonmutating-stale-commands-conflict-and-idempotency-r-87aef0cf18-v1","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-674bead9e5733203edea","tests/e2e/command-center.spec.ts","147","Captain command preparation is browser-authenticated, durable, and idempotent","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-captain-captain-command-preparation-is-browser-authenticated-durable-and-e4b2ec7a00-v1","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-6c7b1594ab6607772f01","tests/e2e/command-center.spec.ts","229","workspace routes preserve the newest Quartermaster surface and remain accessible","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-captain-workspace-routes-preserve-the-newest-quartermaster-surface-and-r-5bf2a62eff-v1","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d5758ce9ec8f2de3a563","tests/e2e/lanternwake-access-transitions.spec.ts","164","Lanternwake Phase 1 access transition final-state holds › Player invitation access holds its committed seal-release pose until the voyage surface is visible","chromium","authentication-authorization","retired shared PlayerExperience access flow","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.invitations","sl-invitations-lanternwake-phase-1-access-transition-final-state-holds-player-i-79ee13eea4-v1","tests/e2e/lanternwake-access-transitions.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.invitations contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1f6a48476107f32d1423","tests/e2e/lanternwake-access-transitions.spec.ts","197","Lanternwake Phase 1 access transition final-state holds › Quartermaster login holds its committed open-door pose until the command surface is visible","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-journal","sl-player-journal-lanternwake-phase-1-access-transition-final-state-holds-quarterm-88b2aee3ac-v1","tests/e2e/lanternwake-access-transitions.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-journal contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ea36ee8b86988644310a","tests/e2e/lanternwake-journal.spec.ts","586","Project Lanternwake Journal browser lifecycle › an active Journal opening releases listeners and requests within the browser unmount budget","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-an-active-journal--21ac89572b-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-83cb9910959055b2e072","tests/e2e/lanternwake-journal.spec.ts","601","Project Lanternwake Journal browser lifecycle › mode change and skip both reconcile the Journal to a readable final pose","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-mode-change-and-sk-7525f1f327-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-cf8e630f2b7ef049c394","tests/e2e/lanternwake-journal.spec.ts","627","Project Lanternwake Journal browser lifecycle › browser reduced motion reaches deterministic JOURNAL_READY with the static readable book","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-browser-reduced-mo-f9361e8f7d-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-b44abce60e3b5460d412","tests/e2e/lanternwake-journal.spec.ts","658","Project Lanternwake Journal browser lifecycle › repeated returning-opening replays do not accumulate observable listeners, sources, or requests","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-repeated-returning-46abdbebbd-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d86b37165d254a0210ed","tests/e2e/lanternwake-journal.spec.ts","699","Project Lanternwake Journal browser lifecycle › manual full and abbreviated opening profiles preserve controls and restore their focus","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-manual-full-and-ab-8db86c142b-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d78d0ba10a9ab2261265","tests/e2e/lanternwake-journal.spec.ts","721","Project Lanternwake Journal browser lifecycle › PageFlip control and keyboard turns retain exact visible-primary authority and focus","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-accessibility-project-lanternwake-journal-browser-lifecycle-pageflip-control-a-95e2902511-v1","tests/e2e/lanternwake-journal.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-761546dd269451038343","tests/e2e/lanternwake-journal.spec.ts","779","Project Lanternwake Journal browser lifecycle › missing opening actor and infinite CSS timing converge to a readable final pose","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-missing-opening-ac-4ff1beed92-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-fa29f3fb0994e96b529c","tests/e2e/lanternwake-journal.spec.ts","806","Project Lanternwake Journal browser lifecycle › a PageFlip readiness interruption exposes the static current page without stale clones","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-a-pageflip-readine-2b3e96af7a-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1105c8339ea23789ead2","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip dynamic-import failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-pageflip-dynamic-i-1cad3d622d-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-0d05164b2b6f6de7d630","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip runtime-init failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-pageflip-runtime-i-58e7666525-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-cbc06b766ba59116fc0f","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip readiness-probe failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-pageflip-readiness-4c49276ef6-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-861fa4e8a6e1cf2f0b08","tests/e2e/lanternwake-journal.spec.ts","864","Project Lanternwake Journal browser lifecycle › completed archive auto-opens quietly, remains read-only, and preserves replay","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-journal-browser-lifecycle-completed-archive--9ee04c1850-v1","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-9b45fcef0b55784fb86a","tests/e2e/lanternwake-phase1.spec.ts","181","Project Lanternwake Phase 1 presentation truth › a missing Journal opening target settles a readable fallback without changing canonical chapter truth","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-journal","sl-player-journal-project-lanternwake-phase-1-presentation-truth-a-missing-journal-0f965fb222-v1","tests/e2e/lanternwake-phase1.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-journal contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-2be0a83c7f7b0054deb1","tests/e2e/lanternwake-phase1.spec.ts","271","Project Lanternwake Phase 1 presentation truth › canonical Journal opening replays and refreshes without mutating session or audit truth","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-journal","sl-player-journal-project-lanternwake-phase-1-presentation-truth-canonical-journal-4e6d07d341-v1","tests/e2e/lanternwake-phase1.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-journal contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-f02923f3b5262c8fcd0e","tests/e2e/lanternwake-phase2.spec.ts","395","Project Lanternwake Phase 2 StPageFlip boundary › full motion keeps source, clone identity, accessibility, and all turn paths inside StPageFlip authority","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-accessibility-project-lanternwake-phase-2-stpageflip-boundary-full-motion-keep-54138fd7a5-v1","tests/e2e/lanternwake-phase2.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-fefe7b0081292a69858b","tests/e2e/lanternwake-phase2.spec.ts","433","Project Lanternwake Phase 2 StPageFlip boundary › twenty showcase remount cycles return public host, target, claim, runtime, and retained-node counts to baseline","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-phase-2-stpageflip-boundary-twenty-showcase--341baa9d8d-v1","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-c0e66ec0cb7bc3fc76e1","tests/e2e/lanternwake-phase2.spec.ts","466","Project Lanternwake Phase 2 StPageFlip boundary › reduced motion renders one readable static page and no StPageFlip runtime","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-phase-2-stpageflip-boundary-reduced-motion-r-63bab91c6f-v1","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-e81459f76bfe3c0a7248","tests/e2e/lanternwake-phase2.spec.ts","481","Project Lanternwake Phase 2 StPageFlip boundary › content revision and orientation changes revoke the old generation and expose zero retained references","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-animation-lifecycle-project-lanternwake-phase-2-stpageflip-boundary-content-revision-e9d6f234aa-v1","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
