"historical_case_id","source_file","source_line","title","project","protected_contract","historical_architecture_dependency","current_relevance","classification","canonical_replacement_suite","canonical_replacement_test_ids","canonical_replacement_historical_test_ids","canonical_replacement_semantic_ids","current_source_files","current_contract_ids","equal_or_stronger_coverage","consolidation_justification","retirement_evidence","remaining_limitation"
"p34-8dc11b96a4cd64538490","tests/e2e/chronicle-studio.spec.ts","169","Studio editor exposes searchable authoring tools and responsive isolated preview","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.studio","sl-test-1750d88b803c3cd0a387","","sl-semantic-4a2d9950fd479b6d004b","tests/e2e/chronicle-studio.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.studio contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-2dbeb10e1a2d05e19f5e","tests/e2e/chronicle-studio.spec.ts","225","creator authors, aligns, publishes, plays, and reviews a media-rich tale","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.studio","sl-test-c683abf7d8d55ac27106","","sl-semantic-ee605ef4f73d32d390d2","tests/e2e/chronicle-studio.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.studio contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-54ff2bdeb1a762b135fc","tests/e2e/command-center.spec.ts","78","preview is nonmutating, stale commands conflict, and idempotency replays safely","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-test-e848c3f90c860cd40c24","sl-test-54ff2bdeb1a762b135fc","sl-semantic-6f2b2360b806b6f96277","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-674bead9e5733203edea","tests/e2e/command-center.spec.ts","147","Captain command preparation is browser-authenticated, durable, and idempotent","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-test-9e5999f24f21948b9a0c","sl-test-674bead9e5733203edea","sl-semantic-f8b5c61ca748c1213104","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-6c7b1594ab6607772f01","tests/e2e/command-center.spec.ts","229","workspace routes preserve the newest Quartermaster surface and remain accessible","chromium","authentication-authorization","retired shared PlayerExperience operator surface","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.captain","sl-test-af87f027c65de5fceaf6","sl-test-6c7b1594ab6607772f01","sl-semantic-3bb7d718ac68fcba9e2b","tests/e2e/command-center.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.captain contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d5758ce9ec8f2de3a563","tests/e2e/lanternwake-access-transitions.spec.ts","164","Lanternwake Phase 1 access transition final-state holds › Player invitation access holds its committed seal-release pose until the voyage surface is visible","chromium","authentication-authorization","retired shared PlayerExperience access flow","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.invitations","sl-test-4fd0c15830e5cf89c71b","sl-test-d5758ce9ec8f2de3a563","sl-semantic-008bd0ac4a3abb0fe9b2","tests/e2e/lanternwake-access-transitions.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.invitations contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1f6a48476107f32d1423","tests/e2e/lanternwake-access-transitions.spec.ts","197","Lanternwake Phase 1 access transition final-state holds › Quartermaster login holds its committed open-door pose until the command surface is visible","chromium","authentication-authorization","retired shared PlayerExperience access flow","CONSOLIDATED_CURRENT_CONTRACT","REPLACED_CANONICAL","browser.invitations","sl-test-4fd0c15830e5cf89c71b;sl-test-3f6887d7997e9e742a7b;sl-test-a19ce294fc973120b052","","sl-semantic-008bd0ac4a3abb0fe9b2;sl-semantic-c6c90df4c6413e688a02;sl-semantic-6967df1071032fa3978c","tests/e2e/lanternwake-access-transitions.spec.ts;tests/e2e/lanternwake-access-transitions.spec.ts;tests/e2e/lanternwake-access-transitions.spec.ts","authentication-authorization;authentication-authorization;authentication-authorization","The focused current family provides consolidated equal-or-stronger coverage for the retained behavior.","Mapped by exact current identity or focused browser.invitations contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-ea36ee8b86988644310a","tests/e2e/lanternwake-journal.spec.ts","586","Project Lanternwake Journal browser lifecycle › an active Journal opening releases listeners and requests within the browser unmount budget","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-175a884f4c166c3431da","sl-test-ea36ee8b86988644310a","sl-semantic-943170d9083d3b0dedbf","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-83cb9910959055b2e072","tests/e2e/lanternwake-journal.spec.ts","601","Project Lanternwake Journal browser lifecycle › mode change and skip both reconcile the Journal to a readable final pose","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-dfcfd445e94c3afdc3e1","sl-test-83cb9910959055b2e072","sl-semantic-6d990afbaccef40c4e10","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-cf8e630f2b7ef049c394","tests/e2e/lanternwake-journal.spec.ts","627","Project Lanternwake Journal browser lifecycle › browser reduced motion reaches deterministic JOURNAL_READY with the static readable book","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-03f47532f35ac52b51eb","sl-test-cf8e630f2b7ef049c394","sl-semantic-8e10e7edc5a750cb0f98","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-b44abce60e3b5460d412","tests/e2e/lanternwake-journal.spec.ts","658","Project Lanternwake Journal browser lifecycle › repeated returning-opening replays do not accumulate observable listeners, sources, or requests","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-2256f16694489d4b8da6","sl-test-b44abce60e3b5460d412","sl-semantic-cc93279219a356d6d15c","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d86b37165d254a0210ed","tests/e2e/lanternwake-journal.spec.ts","699","Project Lanternwake Journal browser lifecycle › manual full and abbreviated opening profiles preserve controls and restore their focus","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-299fc5854200cdfb4b91","sl-test-d86b37165d254a0210ed","sl-semantic-550d36f0be1446f31964","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-d78d0ba10a9ab2261265","tests/e2e/lanternwake-journal.spec.ts","721","Project Lanternwake Journal browser lifecycle › PageFlip control and keyboard turns retain exact visible-primary authority and focus","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-690f74edb9ab664aaf7a","sl-test-d78d0ba10a9ab2261265","sl-semantic-0b4b508038a346dfed03","tests/e2e/lanternwake-journal.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-761546dd269451038343","tests/e2e/lanternwake-journal.spec.ts","779","Project Lanternwake Journal browser lifecycle › missing opening actor and infinite CSS timing converge to a readable final pose","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-df913dcc8ebb2600b5ea","sl-test-761546dd269451038343","sl-semantic-89e96921fe7c3f28c7d4","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-fa29f3fb0994e96b529c","tests/e2e/lanternwake-journal.spec.ts","806","Project Lanternwake Journal browser lifecycle › a PageFlip readiness interruption exposes the static current page without stale clones","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-c14fa28ccda35e4328e0","sl-test-fa29f3fb0994e96b529c","sl-semantic-5b6c7e1758995d46bd8f","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-1105c8339ea23789ead2","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip dynamic-import failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-526e95d8b2a89caadf30","sl-test-1105c8339ea23789ead2","sl-semantic-3b4ccc785aa83d09c14c","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-0d05164b2b6f6de7d630","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip runtime-init failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-5dcf23e4473d0011ccc0","sl-test-0d05164b2b6f6de7d630","sl-semantic-1dcf2c0ecab1a8e6cf60","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-cbc06b766ba59116fc0f","tests/e2e/lanternwake-journal.spec.ts","824","Project Lanternwake Journal browser lifecycle › PageFlip readiness-probe failure reports failed lifecycle and preserves a readable static page","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-49d46d71a2f12b664cf1","sl-test-cbc06b766ba59116fc0f","sl-semantic-34d851d6dcc7e8064e52","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-861fa4e8a6e1cf2f0b08","tests/e2e/lanternwake-journal.spec.ts","864","Project Lanternwake Journal browser lifecycle › completed archive auto-opens quietly, remains read-only, and preserves replay","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-58ce9972ad636563ef19","sl-test-861fa4e8a6e1cf2f0b08","sl-semantic-ecf2c247e71f6f2eb861","tests/e2e/lanternwake-journal.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-9b45fcef0b55784fb86a","tests/e2e/lanternwake-phase1.spec.ts","181","Project Lanternwake Phase 1 presentation truth › a missing Journal opening target settles a readable fallback without changing canonical chapter truth","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-journal","sl-test-f2e08d07faba3dc92bda","","sl-semantic-f84731bfb664ce9ec41e","tests/e2e/lanternwake-phase1.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-journal contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-2be0a83c7f7b0054deb1","tests/e2e/lanternwake-phase1.spec.ts","271","Project Lanternwake Phase 1 presentation truth › canonical Journal opening replays and refreshes without mutating session or audit truth","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.player-journal","sl-test-e99d54d6b376b6b129e3","","sl-semantic-cf50ecb764181b4e6411","tests/e2e/lanternwake-phase1.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.player-journal contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-f02923f3b5262c8fcd0e","tests/e2e/lanternwake-phase2.spec.ts","395","Project Lanternwake Phase 2 StPageFlip boundary › full motion keeps source, clone identity, accessibility, and all turn paths inside StPageFlip authority","chromium","authentication-authorization","retired P34 broad browser container","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.accessibility","sl-test-4a220d3a4184d0ccf2f9","sl-test-f02923f3b5262c8fcd0e","sl-semantic-1565600bcd5772160e32","tests/e2e/lanternwake-phase2.spec.ts","authentication-authorization","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.accessibility contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-fefe7b0081292a69858b","tests/e2e/lanternwake-phase2.spec.ts","433","Project Lanternwake Phase 2 StPageFlip boundary › twenty showcase remount cycles return public host, target, claim, runtime, and retained-node counts to baseline","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-1edec9ac9a43423e210f","sl-test-fefe7b0081292a69858b","sl-semantic-a569e8507a20c6f7d97e","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-c0e66ec0cb7bc3fc76e1","tests/e2e/lanternwake-phase2.spec.ts","466","Project Lanternwake Phase 2 StPageFlip boundary › reduced motion renders one readable static page and no StPageFlip runtime","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-3417c70bc31d74f44110","sl-test-c0e66ec0cb7bc3fc76e1","sl-semantic-61070aafe70004746f4a","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
"p34-e81459f76bfe3c0a7248","tests/e2e/lanternwake-phase2.spec.ts","481","Project Lanternwake Phase 2 StPageFlip boundary › content revision and orientation changes revoke the old generation and expose zero retained references","chromium","journal-ready-state","retired PlayerExperience presentation lifecycle","CURRENT_PRODUCT_CONTRACT","CURRENT_CONTRACT_MIGRATED","browser.animation-lifecycle","sl-test-6ad4d8d8e4de6883d669","sl-test-e81459f76bfe3c0a7248","sl-semantic-f6411a91377bc77b8918","tests/e2e/lanternwake-phase2.spec.ts","journal-ready-state","The current governed case protects the same observable product contract in its owned focused family.","Mapped by exact current identity or focused browser.animation-lifecycle contract ownership; no P34 container is selected.","Historical Playwright discovery at 073e09b1bc0ded5b0d595bf99f0db1b11aafb3b9; P34 remains archived, unselectable, and unexecuted.","Historical outcomes are archival evidence, not current release evidence."
